forecast_date,target,target_end_date,location,type,quantile,value
2020-10-25,1 wk ahead cum death,2020-10-31,1,point,,2996.864334106445
2020-10-25,2 wk ahead cum death,2020-11-07,1,point,,3145.6013946533203
2020-10-25,3 wk ahead cum death,2020-11-14,1,point,,3316.81005859375
2020-10-25,4 wk ahead cum death,2020-11-21,1,point,,3506.581771850586
2020-10-25,1 wk ahead cum death,2020-10-31,2,point,,72.5920777320862
2020-10-25,2 wk ahead cum death,2020-11-07,2,point,,77.55533647537231
2020-10-25,3 wk ahead cum death,2020-11-14,2,point,,82.46240997314453
2020-10-25,4 wk ahead cum death,2020-11-21,2,point,,88.19758176803589
2020-10-25,1 wk ahead cum death,2020-10-31,4,point,,5902.150997161865
2020-10-25,2 wk ahead cum death,2020-11-07,4,point,,5920.4357051849365
2020-10-25,3 wk ahead cum death,2020-11-14,4,point,,5922.092305183411
2020-10-25,4 wk ahead cum death,2020-11-21,4,point,,5922.092305183411
2020-10-25,1 wk ahead cum death,2020-10-31,5,point,,1937.0938568115234
2020-10-25,2 wk ahead cum death,2020-11-07,5,point,,2075.209381103516
2020-10-25,3 wk ahead cum death,2020-11-14,5,point,,2212.2920837402344
2020-10-25,4 wk ahead cum death,2020-11-21,5,point,,2348.3160095214844
2020-10-25,1 wk ahead cum death,2020-10-31,6,point,,17663.505340576172
2020-10-25,2 wk ahead cum death,2020-11-07,6,point,,17918.306869506836
2020-10-25,3 wk ahead cum death,2020-11-14,6,point,,18107.40463256836
2020-10-25,4 wk ahead cum death,2020-11-21,6,point,,18230.798637390137
2020-10-25,1 wk ahead cum death,2020-10-31,8,point,,2288.1421508789067
2020-10-25,2 wk ahead cum death,2020-11-07,8,point,,2370.734825134277
2020-10-25,3 wk ahead cum death,2020-11-14,8,point,,2468.203758239746
2020-10-25,4 wk ahead cum death,2020-11-21,8,point,,2578.477104187012
2020-10-25,1 wk ahead cum death,2020-10-31,9,point,,4593.760566711426
2020-10-25,2 wk ahead cum death,2020-11-07,9,point,,4611.650487899779
2020-10-25,3 wk ahead cum death,2020-11-14,9,point,,4630.759370803833
2020-10-25,4 wk ahead cum death,2020-11-21,9,point,,4650.696756362915
2020-10-25,1 wk ahead cum death,2020-10-31,10,point,,691.1514797210692
2020-10-25,2 wk ahead cum death,2020-11-07,10,point,,703.6395053863525
2020-10-25,3 wk ahead cum death,2020-11-14,10,point,,717.3507480621338
2020-10-25,4 wk ahead cum death,2020-11-21,10,point,,732.6789216995239
2020-10-25,1 wk ahead cum death,2020-10-31,11,point,,648.9065093994142
2020-10-25,2 wk ahead cum death,2020-11-07,11,point,,656.0822033882141
2020-10-25,3 wk ahead cum death,2020-11-14,11,point,,663.5270819664001
2020-10-25,4 wk ahead cum death,2020-11-21,11,point,,671.241144657135
2020-10-25,1 wk ahead cum death,2020-10-31,12,point,,16860.55014038086
