forecast_date,target,target_end_date,location,type,quantile,value
2020-06-15,1 wk ahead inc death,2020-06-20,04,point,,184.0
2020-06-15,2 wk ahead inc death,2020-06-27,04,point,,212.0
2020-06-15,3 wk ahead inc death,2020-07-04,04,point,,242.0
2020-06-15,4 wk ahead inc death,2020-07-11,04,point,,272.0
2020-06-15,1 wk ahead cum death,2020-06-20,04,point,,1376.0
2020-06-15,2 wk ahead cum death,2020-06-27,04,point,,1584.0
2020-06-15,3 wk ahead cum death,2020-07-04,04,point,,1833.0
2020-06-15,4 wk ahead cum death,2020-07-11,04,point,,2107.0
2020-06-15,1 wk ahead inc death,2020-06-20,06,point,,520.0
2020-06-15,2 wk ahead inc death,2020-06-27,06,point,,542.0
2020-06-15,3 wk ahead inc death,2020-07-04,06,point,,568.0
2020-06-15,4 wk ahead inc death,2020-07-11,06,point,,598.0
2020-06-15,1 wk ahead cum death,2020-06-20,06,point,,5597.0
2020-06-15,2 wk ahead cum death,2020-06-27,06,point,,6138.0
2020-06-15,3 wk ahead cum death,2020-07-04,06,point,,6708.0
2020-06-15,4 wk ahead cum death,2020-07-11,06,point,,7302.0
2020-06-15,1 wk ahead inc death,2020-06-20,09,point,,151.0
2020-06-15,2 wk ahead inc death,2020-06-27,09,point,,135.0
2020-06-15,3 wk ahead inc death,2020-07-04,09,point,,119.0
2020-06-15,4 wk ahead inc death,2020-07-11,09,point,,106.0
2020-06-15,1 wk ahead cum death,2020-06-20,09,point,,4337.0
2020-06-15,2 wk ahead cum death,2020-06-27,09,point,,4472.0
2020-06-15,3 wk ahead cum death,2020-07-04,09,point,,4592.0
2020-06-15,4 wk ahead cum death,2020-07-11,09,point,,4702.0
2020-06-15,1 wk ahead inc death,2020-06-20,12,point,,281.0
2020-06-15,2 wk ahead inc death,2020-06-27,12,point,,296.0
2020-06-15,3 wk ahead inc death,2020-07-04,12,point,,321.0
2020-06-15,4 wk ahead inc death,2020-07-11,12,point,,345.0
2020-06-15,1 wk ahead cum death,2020-06-20,12,point,,3206.0
2020-06-15,2 wk ahead cum death,2020-06-27,12,point,,3501.0
2020-06-15,3 wk ahead cum death,2020-07-04,12,point,,3820.0
2020-06-15,4 wk ahead cum death,2020-07-11,12,point,,4168.0
2020-06-15,1 wk ahead inc death,2020-06-20,13,point,,281.0
2020-06-15,2 wk ahead inc death,2020-06-27,13,point,,329.0
2020-06-15,3 wk ahead inc death,2020-07-04,13,point,,391.0
2020-06-15,4 wk ahead inc death,2020-07-11,13,point,,457.0
2020-06-15,1 wk ahead cum death,2020-06-20,13,point,,2728.0
2020-06-15,2 wk ahead cum death,2020-06-27,13,point,,3057.0
2020-06-15,3 wk ahead cum death,2020-07-04,13,point,,3448.0
2020-06-15,4 wk ahead cum death,2020-07-11,13,point,,3921.0
2020-06-15,1 wk ahead inc death,2020-06-20,17,point,,491.0
2020-06-15,2 wk ahead inc death,2020-06-27,17,point,,465.0
2020-06-15,3 wk ahead inc death,2020-07-04,17,point,,445.0
2020-06-15,4 wk ahead inc death,2020-07-11,17,point,,419.0
2020-06-15,1 wk ahead cum death,2020-06-20,17,point,,6780.0
2020-06-15,2 wk ahead cum death,2020-06-27,17,point,,7247.0
2020-06-15,3 wk ahead cum death,2020-07-04,17,point,,7697.0
2020-06-15,4 wk ahead cum death,2020-07-11,17,point,,8121.0
2020-06-15,1 wk ahead inc death,2020-06-20,18,point,,168.0
2020-06-15,2 wk ahead inc death,2020-06-27,18,point,,163.0
2020-06-15,3 wk ahead inc death,2020-07-04,18,point,,161.0
2020-06-15,4 wk ahead inc death,2020-07-11,18,point,,153.0
2020-06-15,1 wk ahead cum death,2020-06-20,18,point,,2641.0
2020-06-15,2 wk ahead cum death,2020-06-27,18,point,,2806.0
2020-06-15,3 wk ahead cum death,2020-07-04,18,point,,2967.0
2020-06-15,4 wk ahead cum death,2020-07-11,18,point,,3120.0
2020-06-15,1 wk ahead inc death,2020-06-20,24,point,,229.0
2020-06-15,2 wk ahead inc death,2020-06-27,24,point,,223.0
2020-06-15,3 wk ahead inc death,2020-07-04,24,point,,217.0
2020-06-15,4 wk ahead inc death,2020-07-11,24,point,,205.0
2020-06-15,1 wk ahead cum death,2020-06-20,24,point,,3215.0
2020-06-15,2 wk ahead cum death,2020-06-27,24,point,,3441.0
2020-06-15,3 wk ahead cum death,2020-07-04,24,point,,3656.0
2020-06-15,4 wk ahead cum death,2020-07-11,24,point,,3864.0
2020-06-15,1 wk ahead inc death,2020-06-20,25,point,,331.0
2020-06-15,2 wk ahead inc death,2020-06-27,25,point,,273.0
