forecast_date,target,target_end_date,location,type,quantile,value
2021-04-12,1 wk ahead cum death,2021-04-17,1,point,,10928.0
2021-04-12,1 wk ahead inc case,2021-04-17,1,point,,3083.7634998047142
2021-04-12,2 wk ahead cum death,2021-04-24,1,point,,11211.0
2021-04-12,2 wk ahead inc case,2021-04-24,1,point,,6690.3191897121715
2021-04-12,3 wk ahead cum death,2021-05-01,1,point,,11499.0
2021-04-12,3 wk ahead inc case,2021-05-01,1,point,,10431.711898746318
2021-04-12,4 wk ahead cum death,2021-05-08,1,point,,11795.0
2021-04-12,4 wk ahead inc case,2021-05-08,1,point,,14304.428809377481
2021-04-12,5 wk ahead cum death,2021-05-15,1,point,,12099.0
2021-04-12,5 wk ahead inc case,2021-05-15,1,point,,18304.734441887118
2021-04-12,1 wk ahead cum death,2021-04-17,4,point,,17165.0
2021-04-12,1 wk ahead inc case,2021-04-17,4,point,,30821.0
2021-04-12,2 wk ahead cum death,2021-04-24,4,point,,17290.0
2021-04-12,2 wk ahead inc case,2021-04-24,4,point,,46125.0
2021-04-12,3 wk ahead cum death,2021-05-01,4,point,,17473.0
2021-04-12,3 wk ahead inc case,2021-05-01,4,point,,60909.0
2021-04-12,4 wk ahead cum death,2021-05-08,4,point,,17720.0
2021-04-12,4 wk ahead inc case,2021-05-08,4,point,,75699.0
2021-04-12,5 wk ahead cum death,2021-05-15,4,point,,17914.0
2021-04-12,5 wk ahead inc case,2021-05-15,4,point,,90342.0
2021-04-12,1 wk ahead cum death,2021-04-17,5,point,,5667.0
2021-04-12,1 wk ahead inc case,2021-04-17,5,point,,1050.0
2021-04-12,2 wk ahead cum death,2021-04-24,5,point,,5667.0
2021-04-12,2 wk ahead inc case,2021-04-24,5,point,,2128.0
2021-04-12,3 wk ahead cum death,2021-05-01,5,point,,5667.0
2021-04-12,3 wk ahead inc case,2021-05-01,5,point,,3206.0
2021-04-12,4 wk ahead cum death,2021-05-08,5,point,,5667.0
2021-04-12,4 wk ahead inc case,2021-05-08,5,point,,4289.0
2021-04-12,5 wk ahead cum death,2021-05-15,5,point,,5667.0
2021-04-12,5 wk ahead inc case,2021-05-15,5,point,,5375.0
2021-04-12,1 wk ahead cum death,2021-04-17,6,point,,61310.0
2021-04-12,1 wk ahead inc case,2021-04-17,6,point,,30740.0
2021-04-12,2 wk ahead cum death,2021-04-24,6,point,,62526.0
2021-04-12,2 wk ahead inc case,2021-04-24,6,point,,64544.0
2021-04-12,3 wk ahead cum death,2021-05-01,6,point,,63769.0
2021-04-12,3 wk ahead inc case,2021-05-01,6,point,,100380.0
2021-04-12,4 wk ahead cum death,2021-05-08,6,point,,65251.0
2021-04-12,4 wk ahead inc case,2021-05-08,6,point,,137552.0
2021-04-12,5 wk ahead cum death,2021-05-15,6,point,,66668.0
2021-04-12,5 wk ahead inc case,2021-05-15,6,point,,175619.0
2021-04-12,1 wk ahead cum death,2021-04-17,8,point,,6206.0
2021-04-12,1 wk ahead inc case,2021-04-17,8,point,,10784.0
2021-04-12,2 wk ahead cum death,2021-04-24,8,point,,6269.0
2021-04-12,2 wk ahead inc case,2021-04-24,8,point,,19959.0
2021-04-12,3 wk ahead cum death,2021-05-01,8,point,,6336.0
2021-04-12,3 wk ahead inc case,2021-05-01,8,point,,30054.0
2021-04-12,4 wk ahead cum death,2021-05-08,8,point,,6404.0
2021-04-12,4 wk ahead inc case,2021-05-08,8,point,,40337.0
2021-04-12,5 wk ahead cum death,2021-05-15,8,point,,6473.0
2021-04-12,5 wk ahead inc case,2021-05-15,8,point,,50921.0
2021-04-12,1 wk ahead cum death,2021-04-17,9,point,,7965.0
2021-04-12,1 wk ahead inc case,2021-04-17,9,point,,5440.83216979733
2021-04-12,2 wk ahead cum death,2021-04-24,9,point,,7988.0
2021-04-12,2 wk ahead inc case,2021-04-24,9,point,,11539.092962462511
2021-04-12,3 wk ahead cum death,2021-05-01,9,point,,8010.0
2021-04-12,3 wk ahead inc case,2021-05-01,9,point,,17662.07939707569
2021-04-12,4 wk ahead cum death,2021-05-08,9,point,,8032.0
2021-04-12,4 wk ahead inc case,2021-05-08,9,point,,23777.74348767369
2021-04-12,5 wk ahead cum death,2021-05-15,9,point,,8054.0
2021-04-12,5 wk ahead inc case,2021-05-15,9,point,,29992.46639611665
2021-04-12,1 wk ahead cum death,2021-04-17,10,point,,1594.0
2021-04-12,1 wk ahead inc case,2021-04-17,10,point,,2233.0
2021-04-12,2 wk ahead cum death,2021-04-24,10,point,,1615.0
2021-04-12,2 wk ahead inc case,2021-04-24,10,point,,4340.0
2021-04-12,3 wk ahead cum death,2021-05-01,10,point,,1631.0
2021-04-12,3 wk ahead inc case,2021-05-01,10,point,,6448.0
2021-04-12,4 wk ahead cum death,2021-05-08,10,point,,1639.0
2021-04-12,4 wk ahead inc case,2021-05-08,10,point,,8794.0
2021-04-12,5 wk ahead cum death,2021-05-15,10,point,,1667.0
2021-04-12,5 wk ahead inc case,2021-05-15,10,point,,10976.0
2021-04-12,1 wk ahead cum death,2021-04-17,12,point,,34395.0
2021-04-12,1 wk ahead inc case,2021-04-17,12,point,,40547.0
2021-04-12,2 wk ahead cum death,2021-04-24,12,point,,34834.0
2021-04-12,2 wk ahead inc case,2021-04-24,12,point,,77279.0
2021-04-12,3 wk ahead cum death,2021-05-01,12,point,,35253.0
2021-04-12,3 wk ahead inc case,2021-05-01,12,point,,114056.0
2021-04-12,4 wk ahead cum death,2021-05-08,12,point,,35698.0
2021-04-12,4 wk ahead inc case,2021-05-08,12,point,,152381.0
2021-04-12,5 wk ahead cum death,2021-05-15,12,point,,36138.0
2021-04-12,5 wk ahead inc case,2021-05-15,12,point,,188028.0
2021-04-12,1 wk ahead cum death,2021-04-17,13,point,,19756.0
2021-04-12,1 wk ahead inc case,2021-04-17,13,point,,9868.0
2021-04-12,2 wk ahead cum death,2021-04-24,13,point,,20127.0
2021-04-12,2 wk ahead inc case,2021-04-24,13,point,,20152.0
2021-04-12,3 wk ahead cum death,2021-05-01,13,point,,20428.0
2021-04-12,3 wk ahead inc case,2021-05-01,13,point,,30349.0
2021-04-12,4 wk ahead cum death,2021-05-08,13,point,,20774.0
2021-04-12,4 wk ahead inc case,2021-05-08,13,point,,40648.0
2021-04-12,5 wk ahead cum death,2021-05-15,13,point,,21156.0
2021-04-12,5 wk ahead inc case,2021-05-15,13,point,,51064.0
2021-04-12,1 wk ahead cum death,2021-04-17,16,point,,2010.0
2021-04-12,1 wk ahead inc case,2021-04-17,16,point,,1594.0
2021-04-12,2 wk ahead cum death,2021-04-24,16,point,,2027.0
2021-04-12,2 wk ahead inc case,2021-04-24,16,point,,3177.0
2021-04-12,3 wk ahead cum death,2021-05-01,16,point,,2045.0
2021-04-12,3 wk ahead inc case,2021-05-01,16,point,,5557.0
2021-04-12,4 wk ahead cum death,2021-05-08,16,point,,2061.0
2021-04-12,4 wk ahead inc case,2021-05-08,16,point,,6620.0
2021-04-12,5 wk ahead cum death,2021-05-15,16,point,,2078.0
2021-04-12,5 wk ahead inc case,2021-05-15,16,point,,9170.0
2021-04-12,1 wk ahead cum death,2021-04-17,17,point,,23922.0
2021-04-12,1 wk ahead inc case,2021-04-17,17,point,,19895.0
2021-04-12,2 wk ahead cum death,2021-04-24,17,point,,24070.0
2021-04-12,2 wk ahead inc case,2021-04-24,17,point,,39531.0
2021-04-12,3 wk ahead cum death,2021-05-01,17,point,,24217.0
2021-04-12,3 wk ahead inc case,2021-05-01,17,point,,58992.0
2021-04-12,4 wk ahead cum death,2021-05-08,17,point,,24365.0
2021-04-12,4 wk ahead inc case,2021-05-08,17,point,,78309.0
2021-04-12,5 wk ahead cum death,2021-05-15,17,point,,24515.0
2021-04-12,5 wk ahead inc case,2021-05-15,17,point,,97273.0
2021-04-12,1 wk ahead cum death,2021-04-17,18,point,,13210.0
2021-04-12,1 wk ahead inc case,2021-04-17,18,point,,7341.0
2021-04-12,2 wk ahead cum death,2021-04-24,18,point,,13282.0
2021-04-12,2 wk ahead inc case,2021-04-24,18,point,,14639.0
2021-04-12,3 wk ahead cum death,2021-05-01,18,point,,13354.0
2021-04-12,3 wk ahead inc case,2021-05-01,18,point,,20921.0
2021-04-12,4 wk ahead cum death,2021-05-08,18,point,,13427.0
2021-04-12,4 wk ahead inc case,2021-05-08,18,point,,27839.0
2021-04-12,5 wk ahead cum death,2021-05-15,18,point,,13501.0
2021-04-12,5 wk ahead inc case,2021-05-15,18,point,,34767.0
2021-04-12,1 wk ahead cum death,2021-04-17,19,point,,5888.0
2021-04-12,1 wk ahead inc case,2021-04-17,19,point,,3365.0
2021-04-12,2 wk ahead cum death,2021-04-24,19,point,,5991.0
2021-04-12,2 wk ahead inc case,2021-04-24,19,point,,6865.0
2021-04-12,3 wk ahead cum death,2021-05-01,19,point,,6028.0
2021-04-12,3 wk ahead inc case,2021-05-01,19,point,,10230.0
2021-04-12,4 wk ahead cum death,2021-05-08,19,point,,6127.0
2021-04-12,4 wk ahead inc case,2021-05-08,19,point,,13414.0
2021-04-12,5 wk ahead cum death,2021-05-15,19,point,,6179.0
2021-04-12,5 wk ahead inc case,2021-05-15,19,point,,16876.0
2021-04-12,1 wk ahead cum death,2021-04-17,20,point,,4947.0
2021-04-12,1 wk ahead inc case,2021-04-17,20,point,,684.0
2021-04-12,2 wk ahead cum death,2021-04-24,20,point,,4949.0
2021-04-12,2 wk ahead inc case,2021-04-24,20,point,,2361.0
2021-04-12,3 wk ahead cum death,2021-05-01,20,point,,4991.0
2021-04-12,3 wk ahead inc case,2021-05-01,20,point,,4503.0
2021-04-12,4 wk ahead cum death,2021-05-08,20,point,,5010.0
2021-04-12,4 wk ahead inc case,2021-05-08,20,point,,6109.0
2021-04-12,5 wk ahead cum death,2021-05-15,20,point,,5041.0
2021-04-12,5 wk ahead inc case,2021-05-15,20,point,,8250.0
2021-04-12,1 wk ahead cum death,2021-04-17,21,point,,6445.0
2021-04-12,1 wk ahead inc case,2021-04-17,21,point,,4693.0
2021-04-12,2 wk ahead cum death,2021-04-24,21,point,,6698.0
2021-04-12,2 wk ahead inc case,2021-04-24,21,point,,9770.0
2021-04-12,3 wk ahead cum death,2021-05-01,21,point,,7111.0
2021-04-12,3 wk ahead inc case,2021-05-01,21,point,,14872.0
2021-04-12,4 wk ahead cum death,2021-05-08,21,point,,7567.0
2021-04-12,4 wk ahead inc case,2021-05-08,21,point,,20035.0
2021-04-12,5 wk ahead cum death,2021-05-15,21,point,,8066.0
2021-04-12,5 wk ahead inc case,2021-05-15,21,point,,25257.0
2021-04-12,1 wk ahead cum death,2021-04-17,22,point,,10317.0
2021-04-12,1 wk ahead inc case,2021-04-17,22,point,,2234.0
2021-04-12,2 wk ahead cum death,2021-04-24,22,point,,10442.0
2021-04-12,2 wk ahead inc case,2021-04-24,22,point,,5672.0
2021-04-12,3 wk ahead cum death,2021-05-01,22,point,,10569.0
2021-04-12,3 wk ahead inc case,2021-05-01,22,point,,9099.0
2021-04-12,4 wk ahead cum death,2021-05-08,22,point,,10698.0
2021-04-12,4 wk ahead inc case,2021-05-08,22,point,,12153.0
2021-04-12,5 wk ahead cum death,2021-05-15,22,point,,10827.0
2021-04-12,5 wk ahead inc case,2021-05-15,22,point,,15197.0
2021-04-12,1 wk ahead cum death,2021-04-17,23,point,,764.0
