forecast_date,target,target_end_date,location,type,quantile,value
2020-11-01,1 wk ahead cum death,2020-11-07,53,point,,2438.7294166666666
2020-11-01,1 wk ahead cum death,2020-11-07,US,point,,241972.013676078
2020-11-01,1 wk ahead cum death,2020-11-07,17,point,,10240.999493867244
2020-11-01,1 wk ahead cum death,2020-11-07,06,point,,18006.90133333333
2020-11-01,1 wk ahead cum death,2020-11-07,04,point,,6075.825218253968
2020-11-01,1 wk ahead cum death,2020-11-07,25,point,,10117.381853174604
2020-11-01,1 wk ahead cum death,2020-11-07,55,point,,2254.791731962482
2020-11-01,1 wk ahead cum death,2020-11-07,48,point,,18963.71378968254
2020-11-01,1 wk ahead cum death,2020-11-07,31,point,,708.5141666666667
2020-11-01,1 wk ahead cum death,2020-11-07,49,point,,639.0723015873016
2020-11-01,1 wk ahead cum death,2020-11-07,41,point,,724.8131626984127
2020-11-01,1 wk ahead cum death,2020-11-07,12,point,,17189.44920634921
2020-11-01,1 wk ahead cum death,2020-11-07,36,point,,33593.87408152958
2020-11-01,1 wk ahead cum death,2020-11-07,44,point,,1226.1138293650795
2020-11-01,1 wk ahead cum death,2020-11-07,13,point,,8166.355242063492
2020-11-01,1 wk ahead cum death,2020-11-07,33,point,,493.69960317460317
2020-11-01,1 wk ahead cum death,2020-11-07,37,point,,4593.509132756133
2020-11-01,1 wk ahead cum death,2020-11-07,34,point,,16438.364725468982
2020-11-01,1 wk ahead cum death,2020-11-07,08,point,,2361.1349960317457
2020-11-01,1 wk ahead cum death,2020-11-07,24,point,,4209.2516706349215
2020-11-01,1 wk ahead cum death,2020-11-07,32,point,,1808.3459166666669
2020-11-01,1 wk ahead cum death,2020-11-07,47,point,,3573.037128787879
2020-11-01,1 wk ahead cum death,2020-11-07,15,point,,231.86895382395386
2020-11-01,1 wk ahead cum death,2020-11-07,18,point,,4545.032934343434
2020-11-01,1 wk ahead cum death,2020-11-07,21,point,,1574.3658928571426
2020-11-01,1 wk ahead cum death,2020-11-07,27,point,,2631.48153968254
2020-11-01,1 wk ahead cum death,2020-11-07,40,point,,1425.0642261904761
2020-11-01,1 wk ahead cum death,2020-11-07,42,point,,8986.359670634922
2020-11-01,1 wk ahead cum death,2020-11-07,45,point,,4065.93821031746
2020-11-01,1 wk ahead cum death,2020-11-07,11,point,,649.7674858119608
2020-11-01,1 wk ahead cum death,2020-11-07,20,point,,1111.5275833333335
2020-11-01,1 wk ahead cum death,2020-11-07,29,point,,3271.593747835498
2020-11-01,1 wk ahead cum death,2020-11-07,50,point,,58.2263730971471
2020-11-01,1 wk ahead cum death,2020-11-07,51,point,,3755.8659007936512
2020-11-01,1 wk ahead cum death,2020-11-07,09,point,,4660.007460317461
2020-11-01,1 wk ahead cum death,2020-11-07,19,point,,1804.9504603174607
2020-11-01,1 wk ahead cum death,2020-11-07,22,point,,6006.8876893939405
2020-11-01,1 wk ahead cum death,2020-11-07,39,point,,5399.708091269841
2020-11-01,1 wk ahead cum death,2020-11-07,26,point,,7881.620285353535
2020-11-01,1 wk ahead cum death,2020-11-07,46,point,,485.6227142857143
2020-11-01,1 wk ahead cum death,2020-11-07,05,point,,2044.054119047619
