forecast_date,target,target_end_date,location,type,quantile,value
2020-12-07,1 wk ahead cum death,2020-12-12,01,point,,4166.144104719635
2020-12-07,1 wk ahead cum death,2020-12-12,02,point,,167.00090375384823
2020-12-07,1 wk ahead cum death,2020-12-12,04,point,,7283.176303059091
2020-12-07,1 wk ahead cum death,2020-12-12,05,point,,2818.7851524594153
2020-12-07,1 wk ahead cum death,2020-12-12,06,point,,20745.424138817252
2020-12-07,1 wk ahead cum death,2020-12-12,08,point,,3718.368492421413
2020-12-07,1 wk ahead cum death,2020-12-12,09,point,,5351.382017903778
2020-12-07,1 wk ahead cum death,2020-12-12,10,point,,818.9542430114516
2020-12-07,1 wk ahead cum death,2020-12-12,12,point,,19847.376747881965
2020-12-07,1 wk ahead cum death,2020-12-12,13,point,,10174.834082930534
2020-12-07,1 wk ahead cum death,2020-12-12,15,point,,278.76135943570785
2020-12-07,1 wk ahead cum death,2020-12-12,16,point,,1148.175034525343
2020-12-07,1 wk ahead cum death,2020-12-12,17,point,,15234.411256882988
2020-12-07,1 wk ahead cum death,2020-12-12,18,point,,6813.32432483007
2020-12-07,1 wk ahead cum death,2020-12-12,19,point,,2989.849993375083
2020-12-07,1 wk ahead cum death,2020-12-12,20,point,,1987.3299661054693
2020-12-07,1 wk ahead cum death,2020-12-12,21,point,,2267.701557016044
2020-12-07,1 wk ahead cum death,2020-12-12,22,point,,6770.366874976043
2020-12-07,1 wk ahead cum death,2020-12-12,23,point,,260.2351596766166
2020-12-07,1 wk ahead cum death,2020-12-12,24,point,,5124.5571177977945
2020-12-07,1 wk ahead cum death,2020-12-12,25,point,,11332.226168979285
2020-12-07,1 wk ahead cum death,2020-12-12,26,point,,11264.578954300983
2020-12-07,1 wk ahead cum death,2020-12-12,27,point,,4499.340574299405
2020-12-07,1 wk ahead cum death,2020-12-12,28,point,,4130.614715211925
2020-12-07,1 wk ahead cum death,2020-12-12,29,point,,4753.593469093374
2020-12-07,1 wk ahead cum death,2020-12-12,30,point,,814.1418449443878
2020-12-07,1 wk ahead cum death,2020-12-12,31,point,,1382.8210984382754
2020-12-07,1 wk ahead cum death,2020-12-12,32,point,,2508.052997083325
2020-12-07,1 wk ahead cum death,2020-12-12,33,point,,603.7676072434323
2020-12-07,1 wk ahead cum death,2020-12-12,34,point,,17784.056370267594
2020-12-07,1 wk ahead cum death,2020-12-12,35,point,,1973.969797657137
2020-12-07,1 wk ahead cum death,2020-12-12,36,point,,35426.78761487335
2020-12-07,1 wk ahead cum death,2020-12-12,37,point,,5858.296391308989
2020-12-07,1 wk ahead cum death,2020-12-12,38,point,,1108.1376399457722
2020-12-07,1 wk ahead cum death,2020-12-12,39,point,,7628.810672538473
2020-12-07,1 wk ahead cum death,2020-12-12,40,point,,2042.702411684726
2020-12-07,1 wk ahead cum death,2020-12-12,41,point,,1158.3394179088687
2020-12-07,1 wk ahead cum death,2020-12-12,42,point,,12187.247161938976
2020-12-07,1 wk ahead cum death,2020-12-12,44,point,,1497.5217706022524
2020-12-07,1 wk ahead cum death,2020-12-12,45,point,,4717.101018237822
2020-12-07,1 wk ahead cum death,2020-12-12,46,point,,1258.4097739671327
2020-12-07,1 wk ahead cum death,2020-12-12,47,point,,5322.300264868216
2020-12-07,1 wk ahead cum death,2020-12-12,48,point,,24282.207550500265
2020-12-07,1 wk ahead cum death,2020-12-12,49,point,,1036.522429625009
2020-12-07,1 wk ahead cum death,2020-12-12,50,point,,92.38117286064902
2020-12-07,1 wk ahead cum death,2020-12-12,51,point,,4375.703765744088
2020-12-07,1 wk ahead cum death,2020-12-12,53,point,,3154.682190791888
2020-12-07,1 wk ahead cum death,2020-12-12,54,point,,935.3515407722437
2020-12-07,1 wk ahead cum death,2020-12-12,55,point,,4429.662876310244
2020-12-07,1 wk ahead cum death,2020-12-12,56,point,,324.4342918213653
2020-12-07,1 wk ahead cum death,2020-12-12,US,point,,296881.1129623618
2020-12-07,2 wk ahead cum death,2020-12-19,01,point,,4440.987018308762
2020-12-07,2 wk ahead cum death,2020-12-19,02,point,,197.78547953308959
2020-12-07,2 wk ahead cum death,2020-12-19,04,point,,7629.738168230305
2020-12-07,2 wk ahead cum death,2020-12-19,05,point,,3000.477553581646
2020-12-07,2 wk ahead cum death,2020-12-19,06,point,,21731.15938035235
2020-12-07,2 wk ahead cum death,2020-12-19,08,point,,4024.1192745784974
2020-12-07,2 wk ahead cum death,2020-12-19,09,point,,5595.0566920535975
2020-12-07,2 wk ahead cum death,2020-12-19,10,point,,860.0388145779892
2020-12-07,2 wk ahead cum death,2020-12-19,12,point,,20611.564290757862
2020-12-07,2 wk ahead cum death,2020-12-19,13,point,,10540.496089163193
2020-12-07,2 wk ahead cum death,2020-12-19,15,point,,291.48918792293165
2020-12-07,2 wk ahead cum death,2020-12-19,16,point,,1262.622466464125
2020-12-07,2 wk ahead cum death,2020-12-19,17,point,,16365.12346886978
2020-12-07,2 wk ahead cum death,2020-12-19,18,point,,7404.137729350116
2020-12-07,2 wk ahead cum death,2020-12-19,19,point,,3242.5417302072565
2020-12-07,2 wk ahead cum death,2020-12-19,20,point,,2230.174235456312
2020-12-07,2 wk ahead cum death,2020-12-19,21,point,,2468.1711333359212
2020-12-07,2 wk ahead cum death,2020-12-19,22,point,,7003.5969360049985
2020-12-07,2 wk ahead cum death,2020-12-19,23,point,,293.99220733268965
2020-12-07,2 wk ahead cum death,2020-12-19,24,point,,5396.203234334687
2020-12-07,2 wk ahead cum death,2020-12-19,25,point,,11731.79112286977
2020-12-07,2 wk ahead cum death,2020-12-19,26,point,,12128.37994831416
2020-12-07,2 wk ahead cum death,2020-12-19,27,point,,5042.241977250893
2020-12-07,2 wk ahead cum death,2020-12-19,28,point,,4307.689950378276
2020-12-07,2 wk ahead cum death,2020-12-19,29,point,,5151.547715054508
2020-12-07,2 wk ahead cum death,2020-12-19,30,point,,896.6602989360449
2020-12-07,2 wk ahead cum death,2020-12-19,31,point,,1570.4120228300824
2020-12-07,2 wk ahead cum death,2020-12-19,32,point,,2717.4964204118382
2020-12-07,2 wk ahead cum death,2020-12-19,33,point,,649.0935074232178
2020-12-07,2 wk ahead cum death,2020-12-19,34,point,,18162.18579637049
2020-12-07,2 wk ahead cum death,2020-12-19,35,point,,2193.754970802548
2020-12-07,2 wk ahead cum death,2020-12-19,36,point,,35944.65334113902
2020-12-07,2 wk ahead cum death,2020-12-19,37,point,,6207.217603784369
2020-12-07,2 wk ahead cum death,2020-12-19,38,point,,1189.331184265632
2020-12-07,2 wk ahead cum death,2020-12-19,39,point,,8410.069521092013
2020-12-07,2 wk ahead cum death,2020-12-19,40,point,,2220.924371115022
2020-12-07,2 wk ahead cum death,2020-12-19,41,point,,1301.9507034146966
2020-12-07,2 wk ahead cum death,2020-12-19,42,point,,13239.987081480362
2020-12-07,2 wk ahead cum death,2020-12-19,44,point,,1601.3675195315998
2020-12-07,2 wk ahead cum death,2020-12-19,45,point,,4916.040214994416
2020-12-07,2 wk ahead cum death,2020-12-19,46,point,,1409.2637149786224
2020-12-07,2 wk ahead cum death,2020-12-19,47,point,,5695.09911717341
2020-12-07,2 wk ahead cum death,2020-12-19,48,point,,25434.64605292427
2020-12-07,2 wk ahead cum death,2020-12-19,49,point,,1132.1003592258169
2020-12-07,2 wk ahead cum death,2020-12-19,50,point,,104.31035971207805
2020-12-07,2 wk ahead cum death,2020-12-19,51,point,,4556.5903718211075
2020-12-07,2 wk ahead cum death,2020-12-19,53,point,,3379.4974000209613
2020-12-07,2 wk ahead cum death,2020-12-19,54,point,,1044.9632160913181
2020-12-07,2 wk ahead cum death,2020-12-19,55,point,,4847.079619148506
2020-12-07,2 wk ahead cum death,2020-12-19,56,point,,388.6145408308925
2020-12-07,2 wk ahead cum death,2020-12-19,US,point,,313207.5518823541
2020-12-07,3 wk ahead cum death,2020-12-26,01,point,,4759.08808536685
2020-12-07,3 wk ahead cum death,2020-12-26,02,point,,230.0837753164534
2020-12-07,3 wk ahead cum death,2020-12-26,04,point,,8069.82389223042
2020-12-07,3 wk ahead cum death,2020-12-26,05,point,,3220.954449265857
2020-12-07,3 wk ahead cum death,2020-12-26,06,point,,22923.88322427998
2020-12-07,3 wk ahead cum death,2020-12-26,08,point,,4443.265264308062
2020-12-07,3 wk ahead cum death,2020-12-26,09,point,,5785.89365003105
2020-12-07,3 wk ahead cum death,2020-12-26,10,point,,903.8095711135002
2020-12-07,3 wk ahead cum death,2020-12-26,12,point,,21486.53888351648
2020-12-07,3 wk ahead cum death,2020-12-26,13,point,,10983.16060618082
2020-12-07,3 wk ahead cum death,2020-12-26,15,point,,309.58692918761767
2020-12-07,3 wk ahead cum death,2020-12-26,16,point,,1362.1013166979171
2020-12-07,3 wk ahead cum death,2020-12-26,17,point,,17789.252978198812
2020-12-07,3 wk ahead cum death,2020-12-26,18,point,,8078.978621217841
2020-12-07,3 wk ahead cum death,2020-12-26,19,point,,3531.3364589692737
2020-12-07,3 wk ahead cum death,2020-12-26,20,point,,2402.866216659167
