US,1 wk ahead cum death,point,,2020-04-13,2020-04-18,31647.197999999997
US,2 wk ahead cum death,point,,2020-04-13,2020-04-25,51036.09099999999
US,3 wk ahead cum death,point,,2020-04-13,2020-05-02,70037.94975
US,4 wk ahead cum death,point,,2020-04-13,2020-05-09,88911.994
US,5 wk ahead cum death,point,,2020-04-13,2020-05-16,105921.02475
US,6 wk ahead cum death,point,,2020-04-13,2020-05-23,120663.354
01,1 wk ahead cum death,point,,2020-04-13,2020-04-18,152.23832162630399
01,2 wk ahead cum death,point,,2020-04-13,2020-04-25,243.473905939223
01,3 wk ahead cum death,point,,2020-04-13,2020-05-02,338.592072259522
01,4 wk ahead cum death,point,,2020-04-13,2020-05-09,428.445974253916
01,5 wk ahead cum death,point,,2020-04-13,2020-05-16,506.2085772541769
01,6 wk ahead cum death,point,,2020-04-13,2020-05-23,577.753080752729
10,1 wk ahead cum death,point,,2020-04-13,2020-04-18,51.86810266278921
10,2 wk ahead cum death,point,,2020-04-13,2020-04-25,71.2961344206246
10,3 wk ahead cum death,point,,2020-04-13,2020-05-02,89.92783391006
10,4 wk ahead cum death,point,,2020-04-13,2020-05-09,107.75670900696699
10,5 wk ahead cum death,point,,2020-04-13,2020-05-16,123.940929254089
10,6 wk ahead cum death,point,,2020-04-13,2020-05-23,138.46635910780898
11,1 wk ahead cum death,point,,2020-04-13,2020-04-18,75.239499215125
11,2 wk ahead cum death,point,,2020-04-13,2020-04-25,103.07595711158001
11,3 wk ahead cum death,point,,2020-04-13,2020-05-02,127.223719978571
11,4 wk ahead cum death,point,,2020-04-13,2020-05-09,145.23480351315
11,5 wk ahead cum death,point,,2020-04-13,2020-05-16,159.609789192163
11,6 wk ahead cum death,point,,2020-04-13,2020-05-23,171.308267544065
12,1 wk ahead cum death,point,,2020-04-13,2020-04-18,796.3888646352742
12,2 wk ahead cum death,point,,2020-04-13,2020-04-25,1291.4752749843199
12,3 wk ahead cum death,point,,2020-04-13,2020-05-02,1873.49373762436
12,4 wk ahead cum death,point,,2020-04-13,2020-05-09,2490.23681737261
12,5 wk ahead cum death,point,,2020-04-13,2020-05-16,3005.76526088086
12,6 wk ahead cum death,point,,2020-04-13,2020-05-23,3382.3232357643797
13,1 wk ahead cum death,point,,2020-04-13,2020-04-18,717.419908145202
13,2 wk ahead cum death,point,,2020-04-13,2020-04-25,1107.9278364260301
13,3 wk ahead cum death,point,,2020-04-13,2020-05-02,1542.9604221659
13,4 wk ahead cum death,point,,2020-04-13,2020-05-09,1972.65725616987
13,5 wk ahead cum death,point,,2020-04-13,2020-05-16,2325.14073746855
13,6 wk ahead cum death,point,,2020-04-13,2020-05-23,2583.1494876441297
15,1 wk ahead cum death,point,,2020-04-13,2020-04-18,18.226149248719803
15,2 wk ahead cum death,point,,2020-04-13,2020-04-25,33.6048274923309
15,3 wk ahead cum death,point,,2020-04-13,2020-05-02,44.73223100851211
15,4 wk ahead cum death,point,,2020-04-13,2020-05-09,49.5188674554758
15,5 wk ahead cum death,point,,2020-04-13,2020-05-16,51.244453067380114
15,6 wk ahead cum death,point,,2020-04-13,2020-05-23,52.409001349358995
16,1 wk ahead cum death,point,,2020-04-13,2020-04-18,34.785474088197304
16,2 wk ahead cum death,point,,2020-04-13,2020-04-25,44.895862784492394
16,3 wk ahead cum death,point,,2020-04-13,2020-05-02,52.39951101403621
