forecast_date,location,target,type,quantile,target_end_date,value
2020-07-27,01,1 wk ahead cum death,point,,2020-08-01,1705.5014
2020-07-27,02,1 wk ahead cum death,point,,2020-08-01,23.5754
2020-07-27,04,1 wk ahead cum death,point,,2020-08-01,4286.2482
2020-07-27,05,1 wk ahead cum death,point,,2020-08-01,454.414
2020-07-27,06,1 wk ahead cum death,point,,2020-08-01,9238.5864
2020-07-27,08,1 wk ahead cum death,point,,2020-08-01,1818.2076
2020-07-27,09,1 wk ahead cum death,point,,2020-08-01,4423.1074
2020-07-27,10,1 wk ahead cum death,point,,2020-08-01,590.997
2020-07-27,11,1 wk ahead cum death,point,,2020-08-01,584.5446
2020-07-27,12,1 wk ahead cum death,point,,2020-08-01,7216.5032
2020-07-27,13,1 wk ahead cum death,point,,2020-08-01,3751.0162
2020-07-27,15,1 wk ahead cum death,point,,2020-08-01,29.8144
2020-07-27,16,1 wk ahead cum death,point,,2020-08-01,191.4316
2020-07-27,17,1 wk ahead cum death,point,,2020-08-01,7677.1062
2020-07-27,18,1 wk ahead cum death,point,,2020-08-01,2962.0690000000004
2020-07-27,19,1 wk ahead cum death,point,,2020-08-01,852.2714
2020-07-27,20,1 wk ahead cum death,point,,2020-08-01,352.4208
2020-07-27,21,1 wk ahead cum death,point,,2020-08-01,746.929
2020-07-27,22,1 wk ahead cum death,point,,2020-08-01,3972.7246
2020-07-27,23,1 wk ahead cum death,point,,2020-08-01,121.9764
2020-07-27,24,1 wk ahead cum death,point,,2020-08-01,3482.4018
2020-07-27,25,1 wk ahead cum death,point,,2020-08-01,8598.1816
2020-07-27,26,1 wk ahead cum death,point,,2020-08-01,6441.2448
2020-07-27,27,1 wk ahead cum death,point,,2020-08-01,1633.6726
2020-07-27,28,1 wk ahead cum death,point,,2020-08-01,1630.4106
2020-07-27,29,1 wk ahead cum death,point,,2020-08-01,1267.6778
2020-07-27,30,1 wk ahead cum death,point,,2020-08-01,59.8764
2020-07-27,31,1 wk ahead cum death,point,,2020-08-01,331.0606
2020-07-27,32,1 wk ahead cum death,point,,2020-08-01,827.3972
2020-07-27,33,1 wk ahead cum death,point,,2020-08-01,417.4714
2020-07-27,34,1 wk ahead cum death,point,,2020-08-01,15950.7336
2020-07-27,35,1 wk ahead cum death,point,,2020-08-01,642.4562
2020-07-27,36,1 wk ahead cum death,point,,2020-08-01,32749.2908
2020-07-27,37,1 wk ahead cum death,point,,2020-08-01,1988.862
2020-07-27,38,1 wk ahead cum death,point,,2020-08-01,104.2314
2020-07-27,39,1 wk ahead cum death,point,,2020-08-01,3432.8426
2020-07-27,40,1 wk ahead cum death,point,,2020-08-01,549.8048
2020-07-27,41,1 wk ahead cum death,point,,2020-08-01,323.8882
2020-07-27,42,1 wk ahead cum death,point,,2020-08-01,7219.29800000001
2020-07-27,44,1 wk ahead cum death,point,,2020-08-01,1009.0058
2020-07-27,45,1 wk ahead cum death,point,,2020-08-01,1866.636
2020-07-27,46,1 wk ahead cum death,point,,2020-08-01,133.6848
2020-07-27,47,1 wk ahead cum death,point,,2020-08-01,1156.6538
2020-07-27,48,1 wk ahead cum death,point,,2020-08-01,6545.9402
2020-07-27,49,1 wk ahead cum death,point,,2020-08-01,313.2414
2020-07-27,50,1 wk ahead cum death,point,,2020-08-01,56.42
2020-07-27,51,1 wk ahead cum death,point,,2020-08-01,2134.295
2020-07-27,53,1 wk ahead cum death,point,,2020-08-01,1562.2038
2020-07-27,54,1 wk ahead cum death,point,,2020-08-01,105.5298
2020-07-27,55,1 wk ahead cum death,point,,2020-08-01,925.054
2020-07-27,56,1 wk ahead cum death,point,,2020-08-01,26.874000000000002
2020-07-27,US,1 wk ahead cum death,point,,2020-08-01,154485.7858
2020-07-27,01,1 wk ahead inc death,point,,2020-08-01,232.5014
2020-07-27,02,1 wk ahead inc death,point,,2020-08-01,3.5754
2020-07-27,04,1 wk ahead inc death,point,,2020-08-01,981.2482
2020-07-27,05,1 wk ahead inc death,point,,2020-08-01,53.413999999999994
2020-07-27,06,1 wk ahead inc death,point,,2020-08-01,790.5864
2020-07-27,08,1 wk ahead inc death,point,,2020-08-01,24.2076
2020-07-27,09,1 wk ahead inc death,point,,2020-08-01,10.1074
2020-07-27,10,1 wk ahead inc death,point,,2020-08-01,11.997
2020-07-27,11,1 wk ahead inc death,point,,2020-08-01,3.5446
2020-07-27,12,1 wk ahead inc death,point,,2020-08-01,1362.5032
2020-07-27,13,1 wk ahead inc death,point,,2020-08-01,253.0162
2020-07-27,15,1 wk ahead inc death,point,,2020-08-01,3.8144
2020-07-27,16,1 wk ahead inc death,point,,2020-08-01,45.4316
