forecast_date,target,target_end_date,location,type,quantile,value
2021-01-11,1 wk ahead cum death,2021-01-16,US,point,,390077
2021-01-11,1 wk ahead inc case,2021-01-16,US,point,,1866085
2021-01-11,1 wk ahead inc death,2021-01-16,US,point,,17569
2021-01-11,2 wk ahead cum death,2021-01-23,US,point,,408790
2021-01-11,2 wk ahead inc case,2021-01-23,US,point,,1777366
2021-01-11,2 wk ahead inc death,2021-01-23,US,point,,18713
2021-01-11,3 wk ahead cum death,2021-01-30,US,point,,430166
2021-01-11,3 wk ahead inc case,2021-01-30,US,point,,1824107
2021-01-11,3 wk ahead inc death,2021-01-30,US,point,,21376
2021-01-11,4 wk ahead cum death,2021-02-06,US,point,,453170
2021-01-11,4 wk ahead inc case,2021-02-06,US,point,,2012075
2021-01-11,4 wk ahead inc death,2021-02-06,US,point,,23005
2021-01-18,1 wk ahead cum death,2021-01-23,US,point,,415261
2021-01-18,1 wk ahead inc case,2021-01-23,US,point,,1416043
2021-01-18,1 wk ahead inc death,2021-01-23,US,point,,19410
2021-01-18,2 wk ahead cum death,2021-01-30,US,point,,437468
2021-01-18,2 wk ahead inc case,2021-01-30,US,point,,1562915
2021-01-18,2 wk ahead inc death,2021-01-30,US,point,,22207
2021-01-18,3 wk ahead cum death,2021-02-06,US,point,,458161
2021-01-18,3 wk ahead inc case,2021-02-06,US,point,,1737839
2021-01-18,3 wk ahead inc death,2021-02-06,US,point,,20693
2021-01-18,4 wk ahead cum death,2021-02-13,US,point,,477266
2021-01-18,4 wk ahead inc case,2021-02-13,US,point,,1642658
2021-01-18,4 wk ahead inc death,2021-02-13,US,point,,19105
2021-01-25,1 wk ahead cum death,2021-01-30,US,point,,439056
2021-01-25,1 wk ahead inc case,2021-01-30,US,point,,1302836
2021-01-25,1 wk ahead inc death,2021-01-30,US,point,,21617
2021-01-25,2 wk ahead cum death,2021-02-06,US,point,,459301
2021-01-25,2 wk ahead inc case,2021-02-06,US,point,,1430952
2021-01-25,2 wk ahead inc death,2021-02-06,US,point,,20245
2021-01-25,3 wk ahead cum death,2021-02-13,US,point,,476320
2021-01-25,3 wk ahead inc case,2021-02-13,US,point,,1313924
2021-01-25,3 wk ahead inc death,2021-02-13,US,point,,17018
2021-01-25,4 wk ahead cum death,2021-02-20,US,point,,493996
2021-01-25,4 wk ahead inc case,2021-02-20,US,point,,1238834
2021-01-25,4 wk ahead inc death,2021-02-20,US,point,,17677
2021-02-01,1 wk ahead cum death,2021-02-06,01,point,,7975
2021-02-01,1 wk ahead inc case,2021-02-06,01,point,,16140
2021-02-01,1 wk ahead inc death,2021-02-06,01,point,,409
2021-02-01,2 wk ahead cum death,2021-02-13,01,point,,8331
2021-02-01,2 wk ahead inc case,2021-02-13,01,point,,16140
2021-02-01,2 wk ahead inc death,2021-02-13,01,point,,356
2021-02-01,3 wk ahead cum death,2021-02-20,01,point,,8638
2021-02-01,3 wk ahead inc case,2021-02-20,01,point,,16140
2021-02-01,3 wk ahead inc death,2021-02-20,01,point,,306
2021-02-01,4 wk ahead cum death,2021-02-27,01,point,,8944
2021-02-01,4 wk ahead inc case,2021-02-27,01,point,,16140
2021-02-01,4 wk ahead inc death,2021-02-27,01,point,,306
2021-02-01,1 wk ahead cum death,2021-02-06,02,point,,270
2021-02-01,1 wk ahead inc case,2021-02-06,02,point,,927
2021-02-01,1 wk ahead inc death,2021-02-06,02,point,,8
2021-02-01,2 wk ahead cum death,2021-02-13,02,point,,278
2021-02-01,2 wk ahead inc case,2021-02-13,02,point,,882
2021-02-01,2 wk ahead inc death,2021-02-13,02,point,,7
2021-02-01,3 wk ahead cum death,2021-02-20,02,point,,283
2021-02-01,3 wk ahead inc case,2021-02-20,02,point,,868
2021-02-01,3 wk ahead inc death,2021-02-20,02,point,,6
2021-02-01,4 wk ahead cum death,2021-02-27,02,point,,288
2021-02-01,4 wk ahead inc case,2021-02-27,02,point,,863
2021-02-01,4 wk ahead inc death,2021-02-27,02,point,,5
2021-02-01,1 wk ahead cum death,2021-02-06,04,point,,14152
2021-02-01,1 wk ahead inc case,2021-02-06,04,point,,34678
2021-02-01,1 wk ahead inc death,2021-02-06,04,point,,1054
2021-02-01,2 wk ahead cum death,2021-02-13,04,point,,15022
2021-02-01,2 wk ahead inc case,2021-02-13,04,point,,33606
2021-02-01,2 wk ahead inc death,2021-02-13,04,point,,870
2021-02-01,3 wk ahead cum death,2021-02-20,04,point,,15719
2021-02-01,3 wk ahead inc case,2021-02-20,04,point,,33262
2021-02-01,3 wk ahead inc death,2021-02-20,04,point,,697
2021-02-01,4 wk ahead cum death,2021-02-27,04,point,,16361
2021-02-01,4 wk ahead inc case,2021-02-27,04,point,,33152
2021-02-01,4 wk ahead inc death,2021-02-27,04,point,,642
2021-02-01,1 wk ahead cum death,2021-02-06,05,point,,5161
2021-02-01,1 wk ahead inc case,2021-02-06,05,point,,13919
2021-02-01,1 wk ahead inc death,2021-02-06,05,point,,323
2021-02-01,2 wk ahead cum death,2021-02-13,05,point,,5389
