,forecast_date,target,target_end_date,location,type,quantile,value
0,2020-07-20,1 wk ahead inc case,2020-07-25,51001,point,,19.92283808326522
8,2020-07-20,2 wk ahead inc case,2020-08-01,51001,point,,20.65948316680637
16,2020-07-20,3 wk ahead inc case,2020-08-08,51001,point,,3.523789321009447
24,2020-07-20,4 wk ahead inc case,2020-08-15,51001,point,,9.4647101688945
32,2020-07-20,1 wk ahead inc case,2020-07-25,51003,point,,53.81393050205382
40,2020-07-20,2 wk ahead inc case,2020-08-01,51003,point,,0.0
48,2020-07-20,3 wk ahead inc case,2020-08-08,51003,point,,90.20058437814687
56,2020-07-20,4 wk ahead inc case,2020-08-15,51003,point,,64.2539769961602
64,2020-07-20,1 wk ahead inc case,2020-07-25,51005,point,,5.164420127909094
72,2020-07-20,2 wk ahead inc case,2020-08-01,51005,point,,7.537189227334975
80,2020-07-20,3 wk ahead inc case,2020-08-08,51005,point,,0.0
88,2020-07-20,4 wk ahead inc case,2020-08-15,51005,point,,10.53905919763594
96,2020-07-20,1 wk ahead inc case,2020-07-25,51007,point,,5.196197807958862
104,2020-07-20,2 wk ahead inc case,2020-08-01,51007,point,,0.0
112,2020-07-20,3 wk ahead inc case,2020-08-08,51007,point,,4.264038457304865
120,2020-07-20,4 wk ahead inc case,2020-08-15,51007,point,,7.075399692628729
128,2020-07-20,1 wk ahead inc case,2020-07-25,51009,point,,4.816781372635585
136,2020-07-20,2 wk ahead inc case,2020-08-01,51009,point,,4.446210148554108
144,2020-07-20,3 wk ahead inc case,2020-08-08,51009,point,,13.685723417480615
152,2020-07-20,4 wk ahead inc case,2020-08-15,51009,point,,6.6200805016613975
160,2020-07-20,1 wk ahead inc case,2020-07-25,51011,point,,2.785388229531237
168,2020-07-20,2 wk ahead inc case,2020-08-01,51011,point,,4.502618544326354
176,2020-07-20,3 wk ahead inc case,2020-08-08,51011,point,,4.2474127797891565
184,2020-07-20,4 wk ahead inc case,2020-08-15,51011,point,,3.2884492379390733
192,2020-07-20,1 wk ahead inc case,2020-07-25,51013,point,,121.92263239517699
200,2020-07-20,2 wk ahead inc case,2020-08-01,51013,point,,120.8229073072737
208,2020-07-20,3 wk ahead inc case,2020-08-08,51013,point,,113.9340896374564
216,2020-07-20,4 wk ahead inc case,2020-08-15,51013,point,,99.27942324553369
224,2020-07-20,1 wk ahead inc case,2020-07-25,51015,point,,14.123824382034686
232,2020-07-20,2 wk ahead inc case,2020-08-01,51015,point,,20.644845605584408
240,2020-07-20,3 wk ahead inc case,2020-08-08,51015,point,,23.23066831870189
248,2020-07-20,4 wk ahead inc case,2020-08-15,51015,point,,20.72896731975851
256,2020-07-20,1 wk ahead inc case,2020-07-25,51017,point,,0.30633119943524045
264,2020-07-20,2 wk ahead inc case,2020-08-01,51017,point,,0.4500945546414708
272,2020-07-20,3 wk ahead inc case,2020-08-08,51017,point,,0.3613569142575794
280,2020-07-20,4 wk ahead inc case,2020-08-15,51017,point,,0.6503982916907992
288,2020-07-20,1 wk ahead inc case,2020-07-25,51019,point,,18.605554041425194
296,2020-07-20,2 wk ahead inc case,2020-08-01,51019,point,,23.030911830756377
304,2020-07-20,3 wk ahead inc case,2020-08-08,51019,point,,26.582469405571565
312,2020-07-20,4 wk ahead inc case,2020-08-15,51019,point,,33.47496855386957
320,2020-07-20,1 wk ahead inc case,2020-07-25,51021,point,,0.7638817677603599
328,2020-07-20,2 wk ahead inc case,2020-08-01,51021,point,,1.336905929677847
336,2020-07-20,3 wk ahead inc case,2020-08-08,51021,point,,0.7083217859295995
344,2020-07-20,4 wk ahead inc case,2020-08-15,51021,point,,1.4493245257019858
352,2020-07-20,1 wk ahead inc case,2020-07-25,51023,point,,18.84959748636789
360,2020-07-20,2 wk ahead inc case,2020-08-01,51023,point,,20.310311614852
368,2020-07-20,3 wk ahead inc case,2020-08-08,51023,point,,8.97745925905442
376,2020-07-20,4 wk ahead inc case,2020-08-15,51023,point,,49.50214254112654
384,2020-07-20,1 wk ahead inc case,2020-07-25,51025,point,,17.0652851188846
392,2020-07-20,2 wk ahead inc case,2020-08-01,51025,point,,20.45084948424868
400,2020-07-20,3 wk ahead inc case,2020-08-08,51025,point,,5.254667219084519
408,2020-07-20,4 wk ahead inc case,2020-08-15,51025,point,,25.651027137858048
416,2020-07-20,1 wk ahead inc case,2020-07-25,51027,point,,0.0
424,2020-07-20,2 wk ahead inc case,2020-08-01,51027,point,,0.0
432,2020-07-20,3 wk ahead inc case,2020-08-08,51027,point,,0.0
440,2020-07-20,4 wk ahead inc case,2020-08-15,51027,point,,0.0
448,2020-07-20,1 wk ahead inc case,2020-07-25,51029,point,,11.713257883543609
456,2020-07-20,2 wk ahead inc case,2020-08-01,51029,point,,22.384949793441137
464,2020-07-20,3 wk ahead inc case,2020-08-08,51029,point,,25.268653305472515
472,2020-07-20,4 wk ahead inc case,2020-08-15,51029,point,,0.5811827977336039
480,2020-07-20,1 wk ahead inc case,2020-07-25,51031,point,,10.477523432588068
488,2020-07-20,2 wk ahead inc case,2020-08-01,51031,point,,13.746226027920539
496,2020-07-20,3 wk ahead inc case,2020-08-08,51031,point,,15.2008678305696
504,2020-07-20,4 wk ahead inc case,2020-08-15,51031,point,,15.136824847427395
512,2020-07-20,1 wk ahead inc case,2020-07-25,51033,point,,10.775397990265414
520,2020-07-20,2 wk ahead inc case,2020-08-01,51033,point,,7.765838411307326
528,2020-07-20,3 wk ahead inc case,2020-08-08,51033,point,,10.373149486055398
536,2020-07-20,4 wk ahead inc case,2020-08-15,51033,point,,10.556557923975687
544,2020-07-20,1 wk ahead inc case,2020-07-25,51035,point,,25.823691690979896
552,2020-07-20,2 wk ahead inc case,2020-08-01,51035,point,,33.0648531831086
560,2020-07-20,3 wk ahead inc case,2020-08-08,51035,point,,38.76194748334497
568,2020-07-20,4 wk ahead inc case,2020-08-15,51035,point,,26.65129247639041
576,2020-07-20,1 wk ahead inc case,2020-07-25,51036,point,,2.0658730210938683
584,2020-07-20,2 wk ahead inc case,2020-08-01,51036,point,,3.5366426588352624
592,2020-07-20,3 wk ahead inc case,2020-08-08,51036,point,,2.6251336139674692
600,2020-07-20,4 wk ahead inc case,2020-08-15,51036,point,,0.7562193625168019
608,2020-07-20,1 wk ahead inc case,2020-07-25,51037,point,,2.4222250497800166
616,2020-07-20,2 wk ahead inc case,2020-08-01,51037,point,,3.2830848155153176
624,2020-07-20,3 wk ahead inc case,2020-08-08,51037,point,,2.4663698757209964
632,2020-07-20,4 wk ahead inc case,2020-08-15,51037,point,,2.223604051321112
640,2020-07-20,1 wk ahead inc case,2020-07-25,51041,point,,243.60931978834512
648,2020-07-20,2 wk ahead inc case,2020-08-01,51041,point,,382.8124826179876
656,2020-07-20,3 wk ahead inc case,2020-08-08,51041,point,,360.3434080471384
664,2020-07-20,4 wk ahead inc case,2020-08-15,51041,point,,479.0722328288834
672,2020-07-20,1 wk ahead inc case,2020-07-25,51043,point,,4.0410471931137995
680,2020-07-20,2 wk ahead inc case,2020-08-01,51043,point,,6.9989636913775675
688,2020-07-20,3 wk ahead inc case,2020-08-08,51043,point,,6.616279392322672
696,2020-07-20,4 wk ahead inc case,2020-08-15,51043,point,,5.1635797162165264
704,2020-07-20,1 wk ahead inc case,2020-07-25,51045,point,,0.8061569493993183
712,2020-07-20,2 wk ahead inc case,2020-08-01,51045,point,,1.363234215221733
720,2020-07-20,3 wk ahead inc case,2020-08-08,51045,point,,1.113477803801676
728,2020-07-20,4 wk ahead inc case,2020-08-15,51045,point,,1.0921930656427064
736,2020-07-20,1 wk ahead inc case,2020-07-25,51047,point,,31.438299816207447
744,2020-07-20,2 wk ahead inc case,2020-08-01,51047,point,,64.20856923501748
