forecast_date,target,target_end_date,location,type,quantile,value
2020-08-17,1 wk ahead cum death,2020-08-22,01,point,,3919.5359999999996
2020-08-17,1 wk ahead cum death,2020-08-22,02,point,,161.89
2020-08-17,1 wk ahead cum death,2020-08-22,04,point,,6713.138000000001
2020-08-17,1 wk ahead cum death,2020-08-22,05,point,,767.702
2020-08-17,1 wk ahead cum death,2020-08-22,06,point,,22399.062
2020-08-17,1 wk ahead cum death,2020-08-22,08,point,,9426.203000000001
2020-08-17,1 wk ahead cum death,2020-08-22,09,point,,3662.2940000000003
2020-08-17,1 wk ahead cum death,2020-08-22,10,point,,628.09
2020-08-17,1 wk ahead cum death,2020-08-22,11,point,,2565.125
2020-08-17,1 wk ahead cum death,2020-08-22,12,point,,11545.252
2020-08-17,1 wk ahead cum death,2020-08-22,13,point,,7987.915
2020-08-17,1 wk ahead cum death,2020-08-22,15,point,,148.274
2020-08-17,1 wk ahead cum death,2020-08-22,16,point,,398.92699999999996
2020-08-17,1 wk ahead cum death,2020-08-22,17,point,,9915.476999999999
2020-08-17,1 wk ahead cum death,2020-08-22,18,point,,5145.215
2020-08-17,1 wk ahead cum death,2020-08-22,19,point,,2318.219
2020-08-17,1 wk ahead cum death,2020-08-22,20,point,,967.1469999999999
2020-08-17,1 wk ahead cum death,2020-08-22,21,point,,1388.639
2020-08-17,1 wk ahead cum death,2020-08-22,22,point,,15253.38
2020-08-17,1 wk ahead cum death,2020-08-22,23,point,,202.65900000000002
2020-08-17,1 wk ahead cum death,2020-08-22,24,point,,4279.644
2020-08-17,1 wk ahead cum death,2020-08-22,25,point,,5946.1990000000005
2020-08-17,1 wk ahead cum death,2020-08-22,26,point,,9038.927
2020-08-17,1 wk ahead cum death,2020-08-22,27,point,,10145.018
2020-08-17,1 wk ahead cum death,2020-08-22,28,point,,2900.015
2020-08-17,1 wk ahead cum death,2020-08-22,29,point,,4160.1720000000005
2020-08-17,1 wk ahead cum death,2020-08-22,30,point,,124.853
2020-08-17,1 wk ahead cum death,2020-08-22,31,point,,501.25
2020-08-17,1 wk ahead cum death,2020-08-22,32,point,,3280.322
2020-08-17,1 wk ahead cum death,2020-08-22,33,point,,989.956
2020-08-17,1 wk ahead cum death,2020-08-22,34,point,,15800.371000000001
2020-08-17,1 wk ahead cum death,2020-08-22,35,point,,1029.322
2020-08-17,1 wk ahead cum death,2020-08-22,36,point,,47894.64599999999
2020-08-17,1 wk ahead cum death,2020-08-22,37,point,,5507.3769999999995
2020-08-17,1 wk ahead cum death,2020-08-22,38,point,,223.535
2020-08-17,1 wk ahead cum death,2020-08-22,39,point,,5533.879
2020-08-17,1 wk ahead cum death,2020-08-22,40,point,,2267.814
2020-08-17,1 wk ahead cum death,2020-08-22,41,point,,523.5830000000001
2020-08-17,1 wk ahead cum death,2020-08-22,42,point,,15444.447
2020-08-17,1 wk ahead cum death,2020-08-22,44,point,,3801.012
2020-08-17,1 wk ahead cum death,2020-08-22,45,point,,2933.548
2020-08-17,1 wk ahead cum death,2020-08-22,46,point,,168.778
2020-08-17,1 wk ahead cum death,2020-08-22,47,point,,4779.996
2020-08-17,1 wk ahead cum death,2020-08-22,48,point,,12509.479
2020-08-17,1 wk ahead cum death,2020-08-22,49,point,,525.605
2020-08-17,1 wk ahead cum death,2020-08-22,50,point,,227.43
2020-08-17,1 wk ahead cum death,2020-08-22,51,point,,13459.136
2020-08-17,1 wk ahead cum death,2020-08-22,53,point,,3918.447
2020-08-17,1 wk ahead cum death,2020-08-22,54,point,,270.186
2020-08-17,1 wk ahead cum death,2020-08-22,55,point,,3286.212
2020-08-17,1 wk ahead cum death,2020-08-22,56,point,,48.341
2020-08-17,1 wk ahead cum death,2020-08-22,72,point,,793.706
2020-08-17,1 wk ahead cum death,2020-08-22,US,point,,287827.35
2020-08-17,1 wk ahead inc case,2020-08-22,01,point,,9053.388
2020-08-17,1 wk ahead inc case,2020-08-22,02,point,,956.955
2020-08-17,1 wk ahead inc case,2020-08-22,04,point,,8901.905999999999
2020-08-17,1 wk ahead inc case,2020-08-22,05,point,,5621.911999999999
2020-08-17,1 wk ahead inc case,2020-08-22,06,point,,39858.741
2020-08-17,1 wk ahead inc case,2020-08-22,08,point,,2385.425
2020-08-17,1 wk ahead inc case,2020-08-22,09,point,,5.502000000000001
2020-08-17,1 wk ahead inc case,2020-08-22,10,point,,789.007
2020-08-17,1 wk ahead inc case,2020-08-22,11,point,,207.104
2020-08-17,1 wk ahead inc case,2020-08-22,12,point,,38032.587
2020-08-17,1 wk ahead inc case,2020-08-22,13,point,,19572.53
2020-08-17,1 wk ahead inc case,2020-08-22,15,point,,1414.001
2020-08-17,1 wk ahead inc case,2020-08-22,16,point,,3166.0359999999996
2020-08-17,1 wk ahead inc case,2020-08-22,17,point,,7568.448
2020-08-17,1 wk ahead inc case,2020-08-22,18,point,,3734.947
2020-08-17,1 wk ahead inc case,2020-08-22,19,point,,2557.692
2020-08-17,1 wk ahead inc case,2020-08-22,20,point,,2434.677
2020-08-17,1 wk ahead inc case,2020-08-22,21,point,,3527.696
2020-08-17,1 wk ahead inc case,2020-08-22,22,point,,13428.872
2020-08-17,1 wk ahead inc case,2020-08-22,23,point,,113.94200000000001
2020-08-17,1 wk ahead inc case,2020-08-22,24,point,,611.757
2020-08-17,1 wk ahead inc case,2020-08-22,25,point,,0.0
2020-08-17,1 wk ahead inc case,2020-08-22,26,point,,7622.154
2020-08-17,1 wk ahead inc case,2020-08-22,27,point,,3233.06
2020-08-17,1 wk ahead inc case,2020-08-22,28,point,,7163.302
2020-08-17,1 wk ahead inc case,2020-08-22,29,point,,15191.322
2020-08-17,1 wk ahead inc case,2020-08-22,30,point,,1346.275
2020-08-17,1 wk ahead inc case,2020-08-22,31,point,,99.60799999999999
2020-08-17,1 wk ahead inc case,2020-08-22,32,point,,10333.928
2020-08-17,1 wk ahead inc case,2020-08-22,33,point,,0.0
2020-08-17,1 wk ahead inc case,2020-08-22,34,point,,3206.6820000000002
2020-08-17,1 wk ahead inc case,2020-08-22,35,point,,2270.0389999999998
2020-08-17,1 wk ahead inc case,2020-08-22,36,point,,4805.861
2020-08-17,1 wk ahead inc case,2020-08-22,37,point,,10177.161
2020-08-17,1 wk ahead inc case,2020-08-22,38,point,,1303.382
2020-08-17,1 wk ahead inc case,2020-08-22,39,point,,7182.7080000000005
2020-08-17,1 wk ahead inc case,2020-08-22,40,point,,7591.437
2020-08-17,1 wk ahead inc case,2020-08-22,41,point,,2421.638
2020-08-17,1 wk ahead inc case,2020-08-22,42,point,,5148.8240000000005
2020-08-17,1 wk ahead inc case,2020-08-22,44,point,,374.11699999999996
2020-08-17,1 wk ahead inc case,2020-08-22,45,point,,6940.874
2020-08-17,1 wk ahead inc case,2020-08-22,46,point,,769.003
2020-08-17,1 wk ahead inc case,2020-08-22,47,point,,13137.106000000002
2020-08-17,1 wk ahead inc case,2020-08-22,48,point,,35893.43
2020-08-17,1 wk ahead inc case,2020-08-22,49,point,,2606.755
2020-08-17,1 wk ahead inc case,2020-08-22,50,point,,30.750999999999998
2020-08-17,1 wk ahead inc case,2020-08-22,51,point,,4198.751
2020-08-17,1 wk ahead inc case,2020-08-22,53,point,,4478.049
2020-08-17,1 wk ahead inc case,2020-08-22,54,point,,746.195
2020-08-17,1 wk ahead inc case,2020-08-22,55,point,,6116.991
2020-08-17,1 wk ahead inc case,2020-08-22,56,point,,239.275
2020-08-17,1 wk ahead inc case,2020-08-22,72,point,,4389.026
2020-08-17,1 wk ahead inc case,2020-08-22,US,point,,332960.827
2020-08-17,1 wk ahead inc death,2020-08-22,01,point,,313.14599999999996
2020-08-17,1 wk ahead inc death,2020-08-22,02,point,,29.075
2020-08-17,1 wk ahead inc death,2020-08-22,04,point,,849.579
2020-08-17,1 wk ahead inc death,2020-08-22,05,point,,76.32300000000001
2020-08-17,1 wk ahead inc death,2020-08-22,06,point,,1584.83
2020-08-17,1 wk ahead inc death,2020-08-22,08,point,,770.375
2020-08-17,1 wk ahead inc death,2020-08-22,09,point,,1.071
2020-08-17,1 wk ahead inc death,2020-08-22,10,point,,30.796
2020-08-17,1 wk ahead inc death,2020-08-22,11,point,,173.773
2020-08-17,1 wk ahead inc death,2020-08-22,12,point,,790.4889999999999
2020-08-17,1 wk ahead inc death,2020-08-22,13,point,,900.7360000000001
2020-08-17,1 wk ahead inc death,2020-08-22,15,point,,29.203000000000003
2020-08-17,1 wk ahead inc death,2020-08-22,16,point,,65.794
2020-08-17,1 wk ahead inc death,2020-08-22,17,point,,398.51
2020-08-17,1 wk ahead inc death,2020-08-22,18,point,,450.144
2020-08-17,1 wk ahead inc death,2020-08-22,19,point,,236.74400000000003
2020-08-17,1 wk ahead inc death,2020-08-22,20,point,,68.344
2020-08-17,1 wk ahead inc death,2020-08-22,21,point,,177.195
2020-08-17,1 wk ahead inc death,2020-08-22,22,point,,1756.099
2020-08-17,1 wk ahead inc death,2020-08-22,23,point,,15.315999999999999
2020-08-17,1 wk ahead inc death,2020-08-22,24,point,,34.54
2020-08-17,1 wk ahead inc death,2020-08-22,25,point,,1.075
2020-08-17,1 wk ahead inc death,2020-08-22,26,point,,617.631
2020-08-17,1 wk ahead inc death,2020-08-22,27,point,,898.957
2020-08-17,1 wk ahead inc death,2020-08-22,28,point,,338.13699999999994
2020-08-17,1 wk ahead inc death,2020-08-22,29,point,,723.243
