forecast_date,target,target_end_date,quantile,type,location,value
2021-01-25,1 wk ahead inc case,2021-01-30,,point,US,1099454.6855688062
2021-01-25,2 wk ahead inc case,2021-02-06,,point,US,1078706.0749296742
2021-01-25,3 wk ahead inc case,2021-02-13,,point,US,1099916.63697376
2021-01-25,4 wk ahead inc case,2021-02-20,,point,US,1127258.4417586396
2021-01-25,5 wk ahead inc case,2021-02-27,,point,US,1258978.6361705824
2021-01-25,6 wk ahead inc case,2021-03-06,,point,US,1235957.6195022364
2021-01-25,1 wk ahead cum death,2021-01-30,,point,US,437102.8029323968
2021-01-25,2 wk ahead cum death,2021-02-06,,point,US,455844.7552422345
2021-01-25,3 wk ahead cum death,2021-02-13,,point,US,474471.9790330496
2021-01-25,4 wk ahead cum death,2021-02-20,,point,US,491429.27201604703
2021-01-25,5 wk ahead cum death,2021-02-27,,point,US,511206.09477609186
2021-01-25,6 wk ahead cum death,2021-03-06,,point,US,531864.3124022625
2021-02-01,1 wk ahead inc case,2021-02-06,,point,US,988044.8260867646
2021-02-01,2 wk ahead inc case,2021-02-13,,point,US,952651.3966826464
2021-02-01,3 wk ahead inc case,2021-02-20,,point,US,891372.9469014718
2021-02-01,4 wk ahead inc case,2021-02-27,,point,US,915331.581702697
2021-02-01,5 wk ahead inc case,2021-03-06,,point,US,777671.5
2021-02-01,6 wk ahead inc case,2021-03-13,,point,US,793297.5
2021-02-01,1 wk ahead cum death,2021-02-06,,point,US,465281.92322492274
2021-02-01,2 wk ahead cum death,2021-02-13,,point,US,484803.9568472274
2021-02-01,3 wk ahead cum death,2021-02-20,,point,US,502786.53928372025
2021-02-01,4 wk ahead cum death,2021-02-27,,point,US,519939.0065788992
2021-02-01,5 wk ahead cum death,2021-03-06,,point,US,522555.83906145935
2021-02-01,6 wk ahead cum death,2021-03-13,,point,US,530318.5512859266
2021-02-08,1 wk ahead inc case,2021-02-13,,point,US,776365.286863134
2021-02-08,2 wk ahead inc case,2021-02-20,,point,US,741326.7624159161
2021-02-08,3 wk ahead inc case,2021-02-27,,point,US,711118.5058570143
2021-02-08,4 wk ahead inc case,2021-03-06,,point,US,722294.2452997506
2021-02-08,5 wk ahead inc case,2021-03-13,,point,US,877258.7140970139
2021-02-08,6 wk ahead inc case,2021-03-20,,point,US,851244.6548823067
2021-02-08,1 wk ahead cum death,2021-02-13,,point,US,480788.2207645926
2021-02-08,2 wk ahead cum death,2021-02-20,,point,US,496534.3646705475
2021-02-08,3 wk ahead cum death,2021-02-27,,point,US,511777.73408692
2021-02-08,4 wk ahead cum death,2021-03-06,,point,US,524905.4453762288
2021-02-08,5 wk ahead cum death,2021-03-13,,point,US,535328.5063576215
2021-02-08,6 wk ahead cum death,2021-03-20,,point,US,549429.7493573991
2021-02-15,1 wk ahead inc case,2021-02-20,,point,US,570068.6090606629
2021-02-15,2 wk ahead inc case,2021-02-27,,point,US,492685.51671527844
2021-02-15,3 wk ahead inc case,2021-03-06,,point,US,446264.897440934
2021-02-15,4 wk ahead inc case,2021-03-13,,point,US,412173.4609987986
2021-02-15,5 wk ahead inc case,2021-03-20,,point,US,411270.82441002975
2021-02-15,6 wk ahead inc case,2021-03-27,,point,US,380250.587200625
2021-02-15,1 wk ahead cum death,2021-02-20,,point,US,501482.5486490504
2021-02-15,2 wk ahead cum death,2021-02-27,,point,US,515463.4371852032
2021-02-15,3 wk ahead cum death,2021-03-06,,point,US,528611.8748571436
2021-02-15,4 wk ahead cum death,2021-03-13,,point,US,539848.5806478425
2021-02-15,5 wk ahead cum death,2021-03-20,,point,US,548687.7185052873
2021-02-15,6 wk ahead cum death,2021-03-27,,point,US,562708.0584128046
2021-02-22,1 wk ahead inc case,2021-02-27,,point,US,438412.10801052296
2021-02-22,2 wk ahead inc case,2021-03-06,,point,US,371791.81582748133
2021-02-22,3 wk ahead inc case,2021-03-13,,point,US,330951.49459265
2021-02-22,4 wk ahead inc case,2021-03-20,,point,US,299459.2042060027
2021-02-22,5 wk ahead inc case,2021-03-27,,point,US,255493.7768170448
2021-02-22,6 wk ahead inc case,2021-04-03,,point,US,246512.20633873306
2021-02-22,1 wk ahead cum death,2021-02-27,,point,US,510490.0580260864
2021-02-22,2 wk ahead cum death,2021-03-06,,point,US,520508.8728404383
2021-02-22,3 wk ahead cum death,2021-03-13,,point,US,528874.2938772612
2021-02-22,4 wk ahead cum death,2021-03-20,,point,US,535750.5987989865
2021-02-22,5 wk ahead cum death,2021-03-27,,point,US,541123.54537309
2021-02-22,6 wk ahead cum death,2021-04-03,,point,US,548535.627196081
2021-03-01,1 wk ahead inc case,2021-03-06,,point,US,407346.5778156823
2021-03-01,2 wk ahead inc case,2021-03-13,,point,US,400868.771787432
2021-03-01,3 wk ahead inc case,2021-03-20,,point,US,406237.15801426396
2021-03-01,4 wk ahead inc case,2021-03-27,,point,US,437232.99665212666
2021-03-01,5 wk ahead inc case,2021-04-03,,point,US,573645.8346626424
2021-03-01,6 wk ahead inc case,2021-04-10,,point,US,607038.6768434366
2021-03-01,1 wk ahead cum death,2021-03-06,,point,US,523754.79140000034
2021-03-01,2 wk ahead cum death,2021-03-13,,point,US,532872.679831903
2021-03-01,3 wk ahead cum death,2021-03-20,,point,US,541345.4064595468
2021-03-01,4 wk ahead cum death,2021-03-27,,point,US,548943.8793832666
2021-03-01,5 wk ahead cum death,2021-04-03,,point,US,555099.035841074
2021-03-01,6 wk ahead cum death,2021-04-10,,point,US,566383.8325606962
2021-03-08,1 wk ahead inc case,2021-03-13,,point,US,372085.18325055094
2021-03-08,2 wk ahead inc case,2021-03-20,,point,US,347191.03849760717
2021-03-08,3 wk ahead inc case,2021-03-27,,point,US,336433.8133238993
2021-03-08,4 wk ahead inc case,2021-04-03,,point,US,330352.24119350786
2021-03-08,5 wk ahead inc case,2021-04-10,,point,US,362601.92224577646
2021-03-08,6 wk ahead inc case,2021-04-17,,point,US,354824.52652564854
2021-03-08,1 wk ahead cum death,2021-03-13,,point,US,533739.988490595
2021-03-08,2 wk ahead cum death,2021-03-20,,point,US,542348.3910446769
2021-03-08,3 wk ahead cum death,2021-03-27,,point,US,549962.7523292659
2021-03-08,4 wk ahead cum death,2021-04-03,,point,US,557422.7259853662
2021-03-08,5 wk ahead cum death,2021-04-10,,point,US,561696.8080341752
2021-03-08,6 wk ahead cum death,2021-04-17,,point,US,571539.0465217843
