location,target,type,quantile,forecast_date,target_end_date,value
US,1 wk ahead cum death,point,,2020-04-18,2020-04-25,69299.0
US,1 wk ahead cum death,point,,2020-04-19,2020-04-25,62164.0
US,1 wk ahead cum death,point,,2020-04-20,2020-04-25,49766.0
US,1 wk ahead cum death,point,,2020-04-25,2020-05-02,66187.0
US,1 wk ahead cum death,point,,2020-04-27,2020-05-02,64604.0
US,1 wk ahead cum death,point,,2020-05-02,2020-05-09,79421.0
US,1 wk ahead cum death,point,,2020-05-03,2020-05-09,76646.0
US,1 wk ahead cum death,point,,2020-05-04,2020-05-09,74220.0
US,1 wk ahead cum death,point,,2020-05-09,2020-05-16,90423.0
US,1 wk ahead cum death,point,,2020-05-10,2020-05-16,88149.0
US,1 wk ahead cum death,point,,2020-05-11,2020-05-16,85545.0
US,1 wk ahead cum death,point,,2020-05-16,2020-05-23,99609.0
US,1 wk ahead cum death,point,,2020-05-17,2020-05-23,97377.0
US,1 wk ahead cum death,point,,2020-05-18,2020-05-23,94610.0
US,1 wk ahead cum death,point,,2020-05-24,2020-05-30,105463.0
US,1 wk ahead cum death,point,,2020-05-25,2020-05-30,103022.0
US,1 wk ahead cum death,point,,2020-05-31,2020-06-06,111374.0
US,1 wk ahead cum death,point,,2020-06-01,2020-06-06,109157.0
US,1 wk ahead cum death,point,,2020-06-07,2020-06-13,115412.0
01,1 wk ahead cum death,point,,2020-06-07,2020-06-13,817.0
02,1 wk ahead cum death,point,,2020-06-07,2020-06-13,10.0
60,1 wk ahead cum death,point,,2020-06-07,2020-06-13,0.0
04,1 wk ahead cum death,point,,2020-06-07,2020-06-13,1195.0
05,1 wk ahead cum death,point,,2020-06-07,2020-06-13,164.0
06,1 wk ahead cum death,point,,2020-06-07,2020-06-13,5174.0
08,1 wk ahead cum death,point,,2020-06-07,2020-06-13,1581.0
09,1 wk ahead cum death,point,,2020-06-07,2020-06-13,4225.0
10,1 wk ahead cum death,point,,2020-06-07,2020-06-13,404.0
11,1 wk ahead cum death,point,,2020-06-07,2020-06-13,511.0
12,1 wk ahead cum death,point,,2020-06-07,2020-06-13,2976.0
13,1 wk ahead cum death,point,,2020-06-07,2020-06-13,2283.0
66,1 wk ahead cum death,point,,2020-06-07,2020-06-13,5.0
15,1 wk ahead cum death,point,,2020-06-07,2020-06-13,17.0
16,1 wk ahead cum death,point,,2020-06-07,2020-06-13,83.0
17,1 wk ahead cum death,point,,2020-06-07,2020-06-13,6310.0
18,1 wk ahead cum death,point,,2020-06-07,2020-06-13,2504.0
19,1 wk ahead cum death,point,,2020-06-07,2020-06-13,656.0
20,1 wk ahead cum death,point,,2020-06-07,2020-06-13,255.0
21,1 wk ahead cum death,point,,2020-06-07,2020-06-13,513.0
22,1 wk ahead cum death,point,,2020-06-07,2020-06-13,3075.0
23,1 wk ahead cum death,point,,2020-06-07,2020-06-13,109.0
24,1 wk ahead cum death,point,,2020-06-07,2020-06-13,2991.0
25,1 wk ahead cum death,point,,2020-06-07,2020-06-13,7594.0
26,1 wk ahead cum death,point,,2020-06-07,2020-06-13,5679.0
27,1 wk ahead cum death,point,,2020-06-07,2020-06-13,1375.0
28,1 wk ahead cum death,point,,2020-06-07,2020-06-13,871.0
29,1 wk ahead cum death,point,,2020-06-07,2020-06-13,885.0
30,1 wk ahead cum death,point,,2020-06-07,2020-06-13,22.0
31,1 wk ahead cum death,point,,2020-06-07,2020-06-13,187.0
32,1 wk ahead cum death,point,,2020-06-07,2020-06-13,462.0
33,1 wk ahead cum death,point,,2020-06-07,2020-06-13,318.0
34,1 wk ahead cum death,point,,2020-06-07,2020-06-13,12586.0
35,1 wk ahead cum death,point,,2020-06-07,2020-06-13,423.0
36,1 wk ahead cum death,point,,2020-06-07,2020-06-13,30654.0
37,1 wk ahead cum death,point,,2020-06-07,2020-06-13,1104.0
38,1 wk ahead cum death,point,,2020-06-07,2020-06-13,94.0
69,1 wk ahead cum death,point,,2020-06-07,2020-06-13,20.0
39,1 wk ahead cum death,point,,2020-06-07,2020-06-13,2484.0
40,1 wk ahead cum death,point,,2020-06-07,2020-06-13,357.0
41,1 wk ahead cum death,point,,2020-06-07,2020-06-13,168.0
42,1 wk ahead cum death,point,,2020-06-07,2020-06-13,6283.0
72,1 wk ahead cum death,point,,2020-06-07,2020-06-13,149.0
44,1 wk ahead cum death,point,,2020-06-07,2020-06-13,831.0
45,1 wk ahead cum death,point,,2020-06-07,2020-06-13,678.0
46,1 wk ahead cum death,point,,2020-06-07,2020-06-13,68.0
47,1 wk ahead cum death,point,,2020-06-07,2020-06-13,473.0
48,1 wk ahead cum death,point,,2020-06-07,2020-06-13,2035.0
49,1 wk ahead cum death,point,,2020-06-07,2020-06-13,135.0
50,1 wk ahead cum death,point,,2020-06-07,2020-06-13,55.0
78,1 wk ahead cum death,point,,2020-06-07,2020-06-13,6.0
51,1 wk ahead cum death,point,,2020-06-07,2020-06-13,1517.0
53,1 wk ahead cum death,point,,2020-06-07,2020-06-13,1207.0
54,1 wk ahead cum death,point,,2020-06-07,2020-06-13,102.0
55,1 wk ahead cum death,point,,2020-06-07,2020-06-13,711.0
56,1 wk ahead cum death,point,,2020-06-07,2020-06-13,17.0
US,1 wk ahead inc case,point,,2020-07-05,2020-07-11,362289.82927809295
01,1 wk ahead inc case,point,,2020-07-05,2020-07-11,8176.94828251028
02,1 wk ahead inc case,point,,2020-07-05,2020-07-11,336.628467044896
04,1 wk ahead inc case,point,,2020-07-05,2020-07-11,27245.5590666107
05,1 wk ahead inc case,point,,2020-07-05,2020-07-11,4264.07421875
06,1 wk ahead inc case,point,,2020-07-05,2020-07-11,31616.7639173706
08,1 wk ahead inc case,point,,2020-07-05,2020-07-11,1835.703125
09,1 wk ahead inc case,point,,2020-07-05,2020-07-11,417.1255016785871
10,1 wk ahead inc case,point,,2020-07-05,2020-07-11,1101.55835841012
11,1 wk ahead inc case,point,,2020-07-05,2020-07-11,222.1474609375
12,1 wk ahead inc case,point,,2020-07-05,2020-07-11,66148.7937337305
13,1 wk ahead inc case,point,,2020-07-05,2020-07-11,21306.9329400678
15,1 wk ahead inc case,point,,2020-07-05,2020-07-11,170.545093062728
16,1 wk ahead inc case,point,,2020-07-05,2020-07-11,2310.646484375
17,1 wk ahead inc case,point,,2020-07-05,2020-07-11,5923.30881874164
18,1 wk ahead inc case,point,,2020-07-05,2020-07-11,3236.07368340927
19,1 wk ahead inc case,point,,2020-07-05,2020-07-11,3291.06889955718
20,1 wk ahead inc case,point,,2020-07-05,2020-07-11,2686.85286993308
21,1 wk ahead inc case,point,,2020-07-05,2020-07-11,1114.15787036635
22,1 wk ahead inc case,point,,2020-07-05,2020-07-11,7581.4609375
23,1 wk ahead inc case,point,,2020-07-05,2020-07-11,247.937744140625
24,1 wk ahead inc case,point,,2020-07-05,2020-07-11,2915.6640625
25,1 wk ahead inc case,point,,2020-07-05,2020-07-11,1471.171875
26,1 wk ahead inc case,point,,2020-07-05,2020-07-11,3514.11181133371
27,1 wk ahead inc case,point,,2020-07-05,2020-07-11,1930.3008464848601
28,1 wk ahead inc case,point,,2020-07-05,2020-07-11,6213.26851032425
29,1 wk ahead inc case,point,,2020-07-05,2020-07-11,3189.8093114324897
30,1 wk ahead inc case,point,,2020-07-05,2020-07-11,371.340891832242
31,1 wk ahead inc case,point,,2020-07-05,2020-07-11,1150.7875853341
32,1 wk ahead inc case,point,,2020-07-05,2020-07-11,5648.58834006199
33,1 wk ahead inc case,point,,2020-07-05,2020-07-11,171.6484375
34,1 wk ahead inc case,point,,2020-07-05,2020-07-11,2285.53125
35,1 wk ahead inc case,point,,2020-07-05,2020-07-11,1768.80558807879
36,1 wk ahead inc case,point,,2020-07-05,2020-07-11,5145.65625
37,1 wk ahead inc case,point,,2020-07-05,2020-07-11,11534.9140625
38,1 wk ahead inc case,point,,2020-07-05,2020-07-11,409.039332910465
39,1 wk ahead inc case,point,,2020-07-05,2020-07-11,7631.16995918735
40,1 wk ahead inc case,point,,2020-07-05,2020-07-11,3509.72404863063
41,1 wk ahead inc case,point,,2020-07-05,2020-07-11,2335.7724609375
42,1 wk ahead inc case,point,,2020-07-05,2020-07-11,4871.01910072728
