forecast_date,target,target_end_date,location,type,quantile,value
2020-11-01,1 wk ahead inc death,2020-11-07,01,point,,109.55426892904998
2020-11-01,2 wk ahead inc death,2020-11-14,01,point,,113.83435519888
2020-11-01,3 wk ahead inc death,2020-11-21,01,point,,113.80111295641001
2020-11-01,4 wk ahead inc death,2020-11-28,01,point,,113.90112352196999
2020-11-01,1 wk ahead inc death,2020-11-07,02,point,,14.331223983220001
2020-11-01,2 wk ahead inc death,2020-11-14,02,point,,17.886609371360002
2020-11-01,3 wk ahead inc death,2020-11-21,02,point,,19.34500302639
2020-11-01,4 wk ahead inc death,2020-11-28,02,point,,20.06313617978
2020-11-01,1 wk ahead inc death,2020-11-07,04,point,,107.11141638888999
2020-11-01,2 wk ahead inc death,2020-11-14,04,point,,116.25819844471
2020-11-01,3 wk ahead inc death,2020-11-21,04,point,,134.96277110609
2020-11-01,4 wk ahead inc death,2020-11-28,04,point,,159.04081578821
2020-11-01,1 wk ahead inc death,2020-11-07,05,point,,106.2126950041
2020-11-01,2 wk ahead inc death,2020-11-14,05,point,,105.86403586166
2020-11-01,3 wk ahead inc death,2020-11-21,05,point,,104.71286012152001
2020-11-01,4 wk ahead inc death,2020-11-28,05,point,,105.11972055277002
2020-11-01,1 wk ahead inc death,2020-11-07,06,point,,347.0929646
2020-11-01,2 wk ahead inc death,2020-11-14,06,point,,348.72230890000014
2020-11-01,3 wk ahead inc death,2020-11-21,06,point,,364.08375819792997
2020-11-01,4 wk ahead inc death,2020-11-28,06,point,,376.91666258306014
2020-11-01,1 wk ahead inc death,2020-11-07,08,point,,80.21038169508999
2020-11-01,2 wk ahead inc death,2020-11-14,08,point,,104.11312766908001
2020-11-01,3 wk ahead inc death,2020-11-21,08,point,,127.32318404923001
2020-11-01,4 wk ahead inc death,2020-11-28,08,point,,147.29419607891
2020-11-01,1 wk ahead inc death,2020-11-07,09,point,,45.446044
2020-11-01,2 wk ahead inc death,2020-11-14,09,point,,50.356864
2020-11-01,3 wk ahead inc death,2020-11-21,09,point,,54.881002
2020-11-01,4 wk ahead inc death,2020-11-28,09,point,,60.856801000000004
2020-11-01,1 wk ahead inc death,2020-11-07,10,point,,17.99416
2020-11-01,2 wk ahead inc death,2020-11-14,10,point,,18.57674
2020-11-01,3 wk ahead inc death,2020-11-21,10,point,,19.35355
2020-11-01,4 wk ahead inc death,2020-11-28,10,point,,20.58224
2020-11-01,1 wk ahead inc death,2020-11-07,11,point,,4.528969999999998
2020-11-01,2 wk ahead inc death,2020-11-14,11,point,,5.1174100000000005
2020-11-01,3 wk ahead inc death,2020-11-21,11,point,,5.61572
2020-11-01,4 wk ahead inc death,2020-11-28,11,point,,6.13476
2020-11-01,1 wk ahead inc death,2020-11-07,12,point,,432.3331752215
2020-11-01,2 wk ahead inc death,2020-11-14,12,point,,452.5377341645501
2020-11-01,3 wk ahead inc death,2020-11-21,12,point,,486.53481281050006
2020-11-01,4 wk ahead inc death,2020-11-28,12,point,,512.9456633432002
2020-11-01,1 wk ahead inc death,2020-11-07,13,point,,175.15759200347
2020-11-01,2 wk ahead inc death,2020-11-14,13,point,,168.75286084767998
2020-11-01,3 wk ahead inc death,2020-11-21,13,point,,163.54482162381004
2020-11-01,4 wk ahead inc death,2020-11-28,13,point,,161.03765574441005
2020-11-01,1 wk ahead inc death,2020-11-07,15,point,,10.14013939915
2020-11-01,2 wk ahead inc death,2020-11-14,15,point,,9.74686175707
2020-11-01,3 wk ahead inc death,2020-11-21,15,point,,9.59390656331
2020-11-01,4 wk ahead inc death,2020-11-28,15,point,,9.7041957474
2020-11-01,1 wk ahead inc death,2020-11-07,16,point,,59.96123068824
2020-11-01,2 wk ahead inc death,2020-11-14,16,point,,66.09449829236999
2020-11-01,3 wk ahead inc death,2020-11-21,16,point,,69.63142132833
2020-11-01,4 wk ahead inc death,2020-11-28,16,point,,72.01009769234
2020-11-01,1 wk ahead inc death,2020-11-07,17,point,,295.05587708886003
2020-11-01,2 wk ahead inc death,2020-11-14,17,point,,329.22033772215997
2020-11-01,3 wk ahead inc death,2020-11-21,17,point,,361.27480331999993
2020-11-01,4 wk ahead inc death,2020-11-28,17,point,,401.01374378457
2020-11-01,1 wk ahead inc death,2020-11-07,18,point,,212.08239642273
2020-11-01,2 wk ahead inc death,2020-11-14,18,point,,228.7072795337
2020-11-01,3 wk ahead inc death,2020-11-21,18,point,,239.88968369364
2020-11-01,4 wk ahead inc death,2020-11-28,18,point,,258.86580811552
2020-11-01,1 wk ahead inc death,2020-11-07,19,point,,91.12639324999998
2020-11-01,2 wk ahead inc death,2020-11-14,19,point,,99.14388975999998
2020-11-01,3 wk ahead inc death,2020-11-21,19,point,,100.7244231
2020-11-01,4 wk ahead inc death,2020-11-28,19,point,,101.218847
2020-11-01,1 wk ahead inc death,2020-11-07,20,point,,70.81033920514002
2020-11-01,2 wk ahead inc death,2020-11-14,20,point,,73.95083620075
2020-11-01,3 wk ahead inc death,2020-11-21,20,point,,70.50350159113998
2020-11-01,4 wk ahead inc death,2020-11-28,20,point,,66.92480333559999
2020-11-01,1 wk ahead inc death,2020-11-07,21,point,,95.52671433353001
2020-11-01,2 wk ahead inc death,2020-11-14,21,point,,104.66729489699
2020-11-01,3 wk ahead inc death,2020-11-21,21,point,,108.35123456741002
2020-11-01,4 wk ahead inc death,2020-11-28,21,point,,113.23425843996999
2020-11-01,1 wk ahead inc death,2020-11-07,22,point,,71.65099078814
2020-11-01,2 wk ahead inc death,2020-11-14,22,point,,69.44745609357
2020-11-01,3 wk ahead inc death,2020-11-21,22,point,,65.82264368475
2020-11-01,4 wk ahead inc death,2020-11-28,22,point,,64.41588645665999
2020-11-01,1 wk ahead inc death,2020-11-07,23,point,,2.22038340003
