location,target,type,quantile,forecast_date,target_end_date,value
US,1 wk ahead cum death,point,,2020-06-22,2020-06-27,116113.46853146852
US,2 wk ahead cum death,point,,2020-06-22,2020-07-04,118744.30410330412
US,3 wk ahead cum death,point,,2020-06-22,2020-07-11,121466.69637769635
US,4 wk ahead cum death,point,,2020-06-22,2020-07-18,124487.78155178155
US,5 wk ahead cum death,point,,2020-06-22,2020-07-25,128149.74247974248
US,6 wk ahead cum death,point,,2020-06-22,2020-08-01,132987.89995189995
US,1 wk ahead inc death,point,,2020-06-22,2020-06-27,2747.868945868946
US,2 wk ahead inc death,point,,2020-06-22,2020-07-04,2630.835571835572
US,3 wk ahead inc death,point,,2020-06-22,2020-07-11,2722.3922743922744
US,4 wk ahead inc death,point,,2020-06-22,2020-07-18,3021.085174085174
US,5 wk ahead inc death,point,,2020-06-22,2020-07-25,3661.9609279609276
US,6 wk ahead inc death,point,,2020-06-22,2020-08-01,4838.157472157473
02,1 wk ahead cum death,point,,2020-06-22,2020-06-27,12.656593406593409
02,2 wk ahead cum death,point,,2020-06-22,2020-07-04,13.623001998001998
02,3 wk ahead cum death,point,,2020-06-22,2020-07-11,14.882534132534133
02,4 wk ahead cum death,point,,2020-06-22,2020-07-18,16.656177156177158
02,5 wk ahead cum death,point,,2020-06-22,2020-07-25,19.26452713952714
02,6 wk ahead cum death,point,,2020-06-22,2020-08-01,23.35997335997336
02,1 wk ahead inc death,point,,2020-06-22,2020-06-27,0.753996003996004
02,2 wk ahead inc death,point,,2020-06-22,2020-07-04,0.9664085914085914
02,3 wk ahead inc death,point,,2020-06-22,2020-07-11,1.2595321345321346
02,4 wk ahead inc death,point,,2020-06-22,2020-07-18,1.7736430236430236
02,5 wk ahead inc death,point,,2020-06-22,2020-07-25,2.6083499833499832
02,6 wk ahead inc death,point,,2020-06-22,2020-08-01,4.09544622044622
01,1 wk ahead cum death,point,,2020-06-22,2020-06-27,889.6095756095758
01,2 wk ahead cum death,point,,2020-06-22,2020-07-04,960.8343508343507
01,3 wk ahead cum death,point,,2020-06-22,2020-07-11,1032.971398971399
01,4 wk ahead cum death,point,,2020-06-22,2020-07-18,1102.7664557664557
01,5 wk ahead cum death,point,,2020-06-22,2020-07-25,1185.3355903355905
01,6 wk ahead cum death,point,,2020-06-22,2020-08-01,1265.061198061198
01,1 wk ahead inc death,point,,2020-06-22,2020-06-27,58.88578088578089
01,2 wk ahead inc death,point,,2020-06-22,2020-07-04,71.22477522477524
01,3 wk ahead inc death,point,,2020-06-22,2020-07-11,72.13704813704814
01,4 wk ahead inc death,point,,2020-06-22,2020-07-18,69.7950567950568
01,5 wk ahead inc death,point,,2020-06-22,2020-07-25,82.56913456913458
01,6 wk ahead inc death,point,,2020-06-22,2020-08-01,79.72560772560774
05,1 wk ahead cum death,point,,2020-06-22,2020-06-27,238.5089672232529
05,2 wk ahead cum death,point,,2020-06-22,2020-07-04,254.9020979020979
05,3 wk ahead cum death,point,,2020-06-22,2020-07-11,272.10912896627184
05,4 wk ahead cum death,point,,2020-06-22,2020-07-18,290.3846629560915
05,5 wk ahead cum death,point,,2020-06-22,2020-07-25,309.85019742162604
05,6 wk ahead cum death,point,,2020-06-22,2020-08-01,331.0449550449552
05,1 wk ahead inc death,point,,2020-06-22,2020-06-27,15.719804005518293
05,2 wk ahead inc death,point,,2020-06-22,2020-07-04,16.393130678844965
05,3 wk ahead inc death,point,,2020-06-22,2020-07-11,17.207031064173922
05,4 wk ahead inc death,point,,2020-06-22,2020-07-18,18.275533989819703
05,5 wk ahead inc death,point,,2020-06-22,2020-07-25,19.465534465534464
05,6 wk ahead inc death,point,,2020-06-22,2020-08-01,21.19475762332905
04,1 wk ahead cum death,point,,2020-06-22,2020-06-27,1486.2302882302881
04,2 wk ahead cum death,point,,2020-06-22,2020-07-04,1708.8561808561808
04,3 wk ahead cum death,point,,2020-06-22,2020-07-11,2012.3764013764014
04,4 wk ahead cum death,point,,2020-06-22,2020-07-18,2428.5069745069745
04,5 wk ahead cum death,point,,2020-06-22,2020-07-25,2990.4818144818146
04,6 wk ahead cum death,point,,2020-06-22,2020-08-01,3749.1704961704963
04,1 wk ahead inc death,point,,2020-06-22,2020-06-27,168.76767676767676
04,2 wk ahead inc death,point,,2020-06-22,2020-07-04,222.62589262589265
04,3 wk ahead inc death,point,,2020-06-22,2020-07-11,303.5202205202205
04,4 wk ahead inc death,point,,2020-06-22,2020-07-18,416.1305731305731
04,5 wk ahead inc death,point,,2020-06-22,2020-07-25,561.9748399748398
04,6 wk ahead inc death,point,,2020-06-22,2020-08-01,758.6886816886816
06,1 wk ahead cum death,point,,2020-06-22,2020-06-27,5689.0767750767745
06,2 wk ahead cum death,point,,2020-06-22,2020-07-04,5910.420727420727
06,3 wk ahead cum death,point,,2020-06-22,2020-07-11,6126.1165131165135
06,4 wk ahead cum death,point,,2020-06-22,2020-07-18,6351.929588929589
06,5 wk ahead cum death,point,,2020-06-22,2020-07-25,6584.121286121285
06,6 wk ahead cum death,point,,2020-06-22,2020-08-01,6830.415251415251
06,1 wk ahead inc death,point,,2020-06-22,2020-06-27,231.23173123173126
06,2 wk ahead inc death,point,,2020-06-22,2020-07-04,221.3439523439524
06,3 wk ahead inc death,point,,2020-06-22,2020-07-11,215.69578569578567
06,4 wk ahead inc death,point,,2020-06-22,2020-07-18,225.81307581307584
06,5 wk ahead inc death,point,,2020-06-22,2020-07-25,232.1916971916972
06,6 wk ahead inc death,point,,2020-06-22,2020-08-01,246.2939652939653
08,1 wk ahead cum death,point,,2020-06-22,2020-06-27,1682.9654419654419
08,2 wk ahead cum death,point,,2020-06-22,2020-07-04,1716.011359011359
08,3 wk ahead cum death,point,,2020-06-22,2020-07-11,1744.6360676360675
08,4 wk ahead cum death,point,,2020-06-22,2020-07-18,1770.2249602249601
08,5 wk ahead cum death,point,,2020-06-22,2020-07-25,1793.4744514744516
08,6 wk ahead cum death,point,,2020-06-22,2020-08-01,1815.7186147186144
08,1 wk ahead inc death,point,,2020-06-22,2020-06-27,40.17401117401118
08,2 wk ahead inc death,point,,2020-06-22,2020-07-04,33.04591704591705
08,3 wk ahead inc death,point,,2020-06-22,2020-07-11,28.624708624708624
08,4 wk ahead inc death,point,,2020-06-22,2020-07-18,25.588892588892588
08,5 wk ahead inc death,point,,2020-06-22,2020-07-25,23.24949124949125
08,6 wk ahead inc death,point,,2020-06-22,2020-08-01,22.244163244163246
09,1 wk ahead cum death,point,,2020-06-22,2020-06-27,4289.939504939505
09,2 wk ahead cum death,point,,2020-06-22,2020-07-04,4316.6136086136075
09,3 wk ahead cum death,point,,2020-06-22,2020-07-11,4336.716135716136
09,4 wk ahead cum death,point,,2020-06-22,2020-07-18,4352.5562955562955
09,5 wk ahead cum death,point,,2020-06-22,2020-07-25,4365.60113960114
09,6 wk ahead cum death,point,,2020-06-22,2020-08-01,4376.759610759611
09,1 wk ahead inc death,point,,2020-06-22,2020-06-27,37.117660117660115
09,2 wk ahead inc death,point,,2020-06-22,2020-07-04,26.67410367410368
09,3 wk ahead inc death,point,,2020-06-22,2020-07-11,20.1025271025271
09,4 wk ahead inc death,point,,2020-06-22,2020-07-18,15.84015984015984
09,5 wk ahead inc death,point,,2020-06-22,2020-07-25,13.044844044844046
