forecast_date,target,target_end_date,location,type,quantile,value
2020-07-06,1 wk ahead cum death,2020-07-11,US,point,,132525.889406974
2020-07-06,1 wk ahead inc case,2020-07-11,US,point,,258991.987496747
2020-07-06,1 wk ahead inc death,2020-07-11,US,point,,2578.88940697431
2020-07-06,2 wk ahead cum death,2020-07-18,US,point,,134962.655201254
2020-07-06,2 wk ahead inc case,2020-07-18,US,point,,339735.073034006
2020-07-06,2 wk ahead inc death,2020-07-18,US,point,,2436.7657942792302
2020-07-06,3 wk ahead cum death,2020-07-25,US,point,,136871.77386279698
2020-07-06,3 wk ahead inc case,2020-07-25,US,point,,303741.144029102
2020-07-06,3 wk ahead inc death,2020-07-25,US,point,,1909.1186615437302
2020-07-06,4 wk ahead cum death,2020-08-01,US,point,,138400.326242844
2020-07-06,4 wk ahead inc case,2020-08-01,US,point,,274094.937018138
2020-07-06,4 wk ahead inc death,2020-08-01,US,point,,1528.5523800466
forecast_date,target,target_end_date,location,type,quantile,value
2020-07-12,1 wk ahead cum death,2020-07-18,US,point,,138700.334167196
2020-07-12,1 wk ahead inc case,2020-07-18,US,point,,379524.30898891296
2020-07-12,1 wk ahead inc death,2020-07-18,US,point,,3923.3341671959206
2020-07-12,2 wk ahead cum death,2020-07-25,US,point,,142525.502573551
2020-07-12,2 wk ahead inc case,2020-07-25,US,point,,485391.084745331
2020-07-12,2 wk ahead inc death,2020-07-25,US,point,,3825.16840635479
2020-07-12,3 wk ahead cum death,2020-08-01,US,point,,145658.072725879
2020-07-12,3 wk ahead inc case,2020-08-01,US,point,,517229.74271003203
2020-07-12,3 wk ahead inc death,2020-08-01,US,point,,3132.57015232873
2020-07-12,4 wk ahead cum death,2020-08-08,US,point,,148261.998109057
2020-07-12,4 wk ahead inc case,2020-08-08,US,point,,544759.235459344
2020-07-12,4 wk ahead inc death,2020-08-08,US,point,,2603.9253831770898
forecast_date,target,target_end_date,location,type,quantile,value
2020-07-20,1 wk ahead cum death,2020-07-25,01,point,,1397.61685556789
2020-07-20,1 wk ahead inc case,2020-07-25,01,point,,11728.0640098551
2020-07-20,1 wk ahead inc death,2020-07-25,01,point,,110.616855567892
2020-07-20,2 wk ahead cum death,2020-08-01,01,point,,1523.6160828358402
2020-07-20,2 wk ahead inc case,2020-08-01,01,point,,17738.8561031488
2020-07-20,2 wk ahead inc death,2020-08-01,01,point,,125.99922726794901
2020-07-20,3 wk ahead cum death,2020-08-08,01,point,,1652.6902644764903
2020-07-20,3 wk ahead inc case,2020-08-08,01,point,,21183.8625892223
2020-07-20,3 wk ahead inc death,2020-08-08,01,point,,129.07418164064399
2020-07-20,4 wk ahead cum death,2020-08-15,01,point,,1789.18328506661
2020-07-20,4 wk ahead inc case,2020-08-15,01,point,,26097.8644534625
2020-07-20,4 wk ahead inc death,2020-08-15,01,point,,136.493020590123
2020-07-20,1 wk ahead cum death,2020-07-25,04,point,,3141.9291350427397
2020-07-20,1 wk ahead inc case,2020-07-25,04,point,,22441.3423819271
2020-07-20,1 wk ahead inc death,2020-07-25,04,point,,380.92913504273497
2020-07-20,2 wk ahead cum death,2020-08-01,04,point,,3760.82386170481
2020-07-20,2 wk ahead inc case,2020-08-01,04,point,,21550.2454797302
2020-07-20,2 wk ahead inc death,2020-08-01,04,point,,618.894726662077
2020-07-20,3 wk ahead cum death,2020-08-08,04,point,,4489.93662459159
2020-07-20,3 wk ahead inc case,2020-08-08,04,point,,17417.3700219903
2020-07-20,3 wk ahead inc death,2020-08-08,04,point,,729.112762886783
2020-07-20,4 wk ahead cum death,2020-08-15,04,point,,5382.07451475088
2020-07-20,4 wk ahead inc case,2020-08-15,04,point,,10294.2543481848
2020-07-20,4 wk ahead inc death,2020-08-15,04,point,,892.1378901592801
2020-07-20,1 wk ahead cum death,2020-07-25,05,point,,394.79068402741404
2020-07-20,1 wk ahead inc case,2020-07-25,05,point,,5396.87103210927
2020-07-20,1 wk ahead inc death,2020-07-25,05,point,,37.790684027413604
2020-07-20,2 wk ahead cum death,2020-08-01,05,point,,438.616541943024
2020-07-20,2 wk ahead inc case,2020-08-01,05,point,,6930.00632014438
2020-07-20,2 wk ahead inc death,2020-08-01,05,point,,43.8258579156106
2020-07-20,3 wk ahead cum death,2020-08-08,05,point,,485.7242827959299
2020-07-20,3 wk ahead inc case,2020-08-08,05,point,,8127.162467314009
2020-07-20,3 wk ahead inc death,2020-08-08,05,point,,47.107740852905394
2020-07-20,4 wk ahead cum death,2020-08-15,05,point,,537.2036857695131
2020-07-20,4 wk ahead inc case,2020-08-15,05,point,,9449.47975738208
2020-07-20,4 wk ahead inc death,2020-08-15,05,point,,51.4794029735829
2020-07-20,1 wk ahead cum death,2020-07-25,06,point,,8260.45246304403
2020-07-20,1 wk ahead inc case,2020-07-25,06,point,,63605.8788636909
2020-07-20,1 wk ahead inc death,2020-07-25,06,point,,545.45246304403
2020-07-20,2 wk ahead cum death,2020-08-01,06,point,,8838.447205945391
2020-07-20,2 wk ahead inc case,2020-08-01,06,point,,83982.597937247
2020-07-20,2 wk ahead inc death,2020-08-01,06,point,,577.994742901359
2020-07-20,3 wk ahead cum death,2020-08-08,06,point,,9415.27690292073
2020-07-20,3 wk ahead inc case,2020-08-08,06,point,,100217.14684816099
2020-07-20,3 wk ahead inc death,2020-08-08,06,point,,576.829696975335
2020-07-20,4 wk ahead cum death,2020-08-15,06,point,,9997.79501849169
2020-07-20,4 wk ahead inc case,2020-08-15,06,point,,119002.921445981
2020-07-20,4 wk ahead inc death,2020-08-15,06,point,,582.518115570962
2020-07-20,1 wk ahead cum death,2020-07-25,08,point,,1771.9115162750602
2020-07-20,1 wk ahead inc case,2020-07-25,08,point,,1695.27197584873
2020-07-20,1 wk ahead inc death,2020-07-25,08,point,,19.911516275059103
2020-07-20,2 wk ahead cum death,2020-08-01,08,point,,1793.1187741915699
2020-07-20,2 wk ahead inc case,2020-08-01,08,point,,2023.9779374681302
2020-07-20,2 wk ahead inc death,2020-08-01,08,point,,21.207257916513502
2020-07-20,3 wk ahead cum death,2020-08-08,08,point,,1811.6167355745301
2020-07-20,3 wk ahead inc case,2020-08-08,08,point,,1819.9324966676397
2020-07-20,3 wk ahead inc death,2020-08-08,08,point,,18.497961382958
2020-07-20,4 wk ahead cum death,2020-08-15,08,point,,1828.0497145742102
2020-07-20,4 wk ahead inc case,2020-08-15,08,point,,1723.8624105839199
2020-07-20,4 wk ahead inc death,2020-08-15,08,point,,16.4329789996821
2020-07-20,1 wk ahead cum death,2020-07-25,09,point,,4437.89259644947
2020-07-20,1 wk ahead inc death,2020-07-25,09,point,,41.8925964494729
2020-07-20,2 wk ahead cum death,2020-08-01,09,point,,4464.03494889001
