forecast_date,target,target_end_date,quantile,type,location,value
2020-12-21,1 wk ahead inc death,2020-12-26,,point,US,22803.75006253232
2020-12-21,2 wk ahead inc death,2021-01-02,,point,US,27487.185070051768
2020-12-21,3 wk ahead inc death,2021-01-09,,point,US,33132.50412776084
2020-12-21,4 wk ahead inc death,2021-01-16,,point,US,39937.25901646205
2020-12-21,5 wk ahead inc death,2021-01-23,,point,US,48139.57470880047
2020-12-21,6 wk ahead inc death,2021-01-30,,point,US,58026.48229286202
2020-12-21,7 wk ahead inc death,2021-02-06,,point,US,69943.96331192128
2020-12-21,8 wk ahead inc death,2021-02-13,,point,US,84309.05701104643
2020-12-21,1 wk ahead cum death,2020-12-26,,point,US,338962.7500625323
2020-12-21,2 wk ahead cum death,2021-01-02,,point,US,366449.93513258407
2020-12-21,3 wk ahead cum death,2021-01-09,,point,US,399582.4392603449
2020-12-21,4 wk ahead cum death,2021-01-16,,point,US,439519.69827680703
2020-12-21,5 wk ahead cum death,2021-01-23,,point,US,487659.27298560744
2020-12-21,6 wk ahead cum death,2021-01-30,,point,US,545685.7552784695
2020-12-21,7 wk ahead cum death,2021-02-06,,point,US,615629.7185903908
2020-12-21,8 wk ahead cum death,2021-02-13,,point,US,699938.7756014372
2020-12-21,1 wk ahead inc death,2020-12-26,,point,01,288.4569001902277
2020-12-21,2 wk ahead inc death,2021-01-02,,point,01,325.46067776399946
2020-12-21,3 wk ahead inc death,2021-01-09,,point,01,367.21136745471637
2020-12-21,4 wk ahead inc death,2021-01-16,,point,01,414.31791181158246
2020-12-21,5 wk ahead inc death,2021-01-23,,point,01,467.4673696453005
2020-12-21,6 wk ahead inc death,2021-01-30,,point,01,527.4349369246534
2020-12-21,7 wk ahead inc death,2021-02-06,,point,01,595.0952531719872
2020-12-21,8 wk ahead inc death,2021-02-13,,point,01,671.4351582637422
2020-12-21,1 wk ahead cum death,2020-12-26,,point,01,4677.456900190227
2020-12-21,2 wk ahead cum death,2021-01-02,,point,01,5002.917577954227
2020-12-21,3 wk ahead cum death,2021-01-09,,point,01,5370.128945408944
2020-12-21,4 wk ahead cum death,2021-01-16,,point,01,5784.446857220526
2020-12-21,5 wk ahead cum death,2021-01-23,,point,01,6251.914226865826
2020-12-21,6 wk ahead cum death,2021-01-30,,point,01,6779.34916379048
2020-12-21,7 wk ahead cum death,2021-02-06,,point,01,7374.444416962467
2020-12-21,8 wk ahead cum death,2021-02-13,,point,01,8045.8795752262085
2020-12-21,1 wk ahead inc death,2020-12-26,,point,02,5.71844064806821
2020-12-21,2 wk ahead inc death,2021-01-02,,point,02,3.670605475831846
2020-12-21,3 wk ahead inc death,2021-01-09,,point,02,2.3561221298603963
2020-12-21,4 wk ahead inc death,2021-01-16,,point,02,1.5123694244366666
2020-12-21,5 wk ahead inc death,2021-01-23,,point,02,0.9707736483534573
2020-12-21,6 wk ahead inc death,2021-01-30,,point,02,0.6231291515884165
